,REF_AREA,TIME_PERIOD,AGE_x,SMR,RANK,AGE_y,NMR
0,AFG,2000,Y10T14,0.11,40,_T,-50.229
1,AFG,2000,Y15T19,3.59,10,_T,-50.229
2,AFG,2000,Y10T14,0.73,21,_T,-50.229
3,AFG,2000,Y15T19,6.61,8,_T,-50.229
4,AFG,2000,Y10T14,0.43,28,_T,-50.229
5,AFG,2000,Y15T19,5.17,10,_T,-50.229
6,AFG,2000,Y10T19,2.56,11,_T,-50.229
7,AFG,2000,Y10T19,1.66,18,_T,-50.229
8,AFG,2000,Y10T19,3.38,9,_T,-50.229
9,AFG,2010,Y10T14,0.14,40,_T,-5.001
10,AFG,2010,Y15T19,2.7,9,_T,-5.001
11,AFG,2010,Y10T14,0.81,22,_T,-5.001
12,AFG,2010,Y15T19,5.08,8,_T,-5.001
13,AFG,2010,Y10T14,0.48,30,_T,-5.001
14,AFG,2010,Y15T19,3.93,10,_T,-5.001
15,AFG,2010,Y10T19,1.99,11,_T,-5.001
16,AFG,2010,Y10T19,1.25,19,_T,-5.001
17,AFG,2010,Y10T19,2.68,9,_T,-5.001
18,AFG,2019,Y10T14,0.06,39,_T,-0.214
19,AFG,2019,Y15T19,2.02,10,_T,-0.214
20,AFG,2019,Y10T14,0.34,21,_T,-0.214
21,AFG,2019,Y15T19,4.48,8,_T,-0.214
22,AFG,2019,Y10T14,0.2,28,_T,-0.214
23,AFG,2019,Y15T19,3.28,10,_T,-0.214
24,AFG,2019,Y10T19,1.65,10,_T,-0.214
25,AFG,2019,Y10T19,0.98,13,_T,-0.214
26,AFG,2019,Y10T19,2.28,9,_T,-0.214
27,AGO,2000,Y10T14,2.16,18,_T,3.27
28,AGO,2000,Y15T19,1.87,14,_T,3.27
29,AGO,2000,Y10T14,7.99,9,_T,3.27
30,AGO,2000,Y15T19,6.01,9,_T,3.27
31,AGO,2000,Y10T14,5.06,11,_T,3.27
32,AGO,2000,Y15T19,3.93,11,_T,3.27
33,AGO,2000,Y10T19,4.55,13,_T,3.27
34,AGO,2000,Y10T19,2.03,19,_T,3.27
35,AGO,2000,Y10T19,7.1,11,_T,3.27
36,AGO,2010,Y10T14,2.01,17,_T,3.859
37,AGO,2010,Y15T19,1.63,11,_T,3.859
38,AGO,2010,Y10T14,6.77,7,_T,3.859
39,AGO,2010,Y15T19,5.05,7,_T,3.859
40,AGO,2010,Y10T14,4.37,11,_T,3.859
41,AGO,2010,Y15T19,3.33,10,_T,3.859
42,AGO,2010,Y10T19,3.89,11,_T,3.859
43,AGO,2010,Y10T19,1.84,17,_T,3.859
44,AGO,2010,Y10T19,5.98,8,_T,3.859
45,AGO,2019,Y10T14,1.18,18,_T,1.824
46,AGO,2019,Y15T19,1.19,11,_T,1.824
47,AGO,2019,Y10T14,4.51,7,_T,1.824
48,AGO,2019,Y15T19,4.4,8,_T,1.824
49,AGO,2019,Y10T14,2.84,11,_T,1.824
50,AGO,2019,Y15T19,2.78,10,_T,1.824
51,AGO,2019,Y10T19,2.81,10,_T,1.824
52,AGO,2019,Y10T19,1.19,15,_T,1.824
53,AGO,2019,Y10T19,4.46,9,_T,1.824
54,ALB,2000,Y10T14,0.83,9,_T,-19.799
55,ALB,2000,Y15T19,6.2,1,_T,-19.799
56,ALB,2000,Y10T14,1.26,10,_T,-19.799
57,ALB,2000,Y15T19,7.09,4,_T,-19.799
58,ALB,2000,Y10T14,1.05,9,_T,-19.799
59,ALB,2000,Y15T19,6.64,2,_T,-19.799
60,ALB,2000,Y10T19,3.62,3,_T,-19.799
61,ALB,2000,Y10T19,3.34,2,_T,-19.799
62,ALB,2000,Y10T19,3.9,5,_T,-19.799
63,ALB,2010,Y10T14,1.36,6,_T,-10.017
64,ALB,2010,Y15T19,14.35,1,_T,-10.017
65,ALB,2010,Y10T14,1.48,6,_T,-10.017
66,ALB,2010,Y15T19,7.97,2,_T,-10.017
67,ALB,2010,Y10T14,1.42,7,_T,-10.017
68,ALB,2010,Y15T19,10.99,2,_T,-10.017
69,ALB,2010,Y10T19,6.3,2,_T,-10.017
70,ALB,2010,Y10T19,7.95,1,_T,-10.017
71,ALB,2010,Y10T19,4.8,2,_T,-10.017
72,ALB,2019,Y10T14,0.84,8,_T,-3.088
73,ALB,2019,Y15T19,8.59,1,_T,-3.088
74,ALB,2019,Y10T14,1.06,7,_T,-3.088
75,ALB,2019,Y15T19,3.63,3,_T,-3.088
76,ALB,2019,Y10T14,0.96,8,_T,-3.088
77,ALB,2019,Y15T19,5.97,2,_T,-3.088
78,ALB,2019,Y10T19,3.73,2,_T,-3.088
79,ALB,2019,Y10T19,5.17,2,_T,-3.088
80,ALB,2019,Y10T19,2.47,2,_T,-3.088
81,ARE,2000,Y10T14,0.18,20,_T,41.058
82,ARE,2000,Y15T19,1.77,8,_T,41.058
83,ARE,2000,Y10T14,0.39,18,_T,41.058
84,ARE,2000,Y15T19,5.33,3,_T,41.058
85,ARE,2000,Y10T14,0.29,18,_T,41.058
86,ARE,2000,Y15T19,3.7,3,_T,41.058
87,ARE,2000,Y10T19,1.79,5,_T,41.058
88,ARE,2000,Y10T19,0.87,12,_T,41.058
89,ARE,2000,Y10T19,2.59,4,_T,41.058
90,ARE,2010,Y10T14,0.13,21,_T,-1.616
91,ARE,2010,Y15T19,1.29,7,_T,-1.616
92,ARE,2010,Y10T14,0.29,18,_T,-1.616
93,ARE,2010,Y15T19,3.92,3,_T,-1.616
94,ARE,2010,Y10T14,0.21,19,_T,-1.616
95,ARE,2010,Y15T19,2.66,3,_T,-1.616
96,ARE,2010,Y10T19,1.44,6,_T,-1.616
97,ARE,2010,Y10T19,0.71,10,_T,-1.616
98,ARE,2010,Y10T19,2.12,4,_T,-1.616
99,ARE,2019,Y10T14,0.13,20,_T,-0.485
100,ARE,2019,Y15T19,1.13,8,_T,-0.485
101,ARE,2019,Y10T14,0.28,18,_T,-0.485
102,ARE,2019,Y15T19,3.82,4,_T,-0.485
103,ARE,2019,Y10T14,0.21,20,_T,-0.485
104,ARE,2019,Y15T19,2.57,4,_T,-0.485
105,ARE,2019,Y10T19,1.35,7,_T,-0.485
106,ARE,2019,Y10T19,0.59,11,_T,-0.485
107,ARE,2019,Y10T19,2.04,6,_T,-0.485
108,ARG,2000,Y10T14,1.36,4,_T,-0.614
