,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,BRA,1986,NT_BF_PRED_BF,26.7
1,COL,1986,NT_BF_PRED_BF,33.6
2,DOM,1986,NT_BF_PRED_BF,34.3
3,LBR,1986,NT_BF_PRED_BF,53.8
4,PER,1986,NT_BF_PRED_BF,56.0
5,SEN,1986,NT_BF_PRED_BF,66.0
6,BDI,1987,NT_BF_PRED_BF,92.9
7,ECU,1987,NT_BF_PRED_BF,45.8
8,LKA,1987,NT_BF_PRED_BF,67.3
9,MAR,1987,NT_BF_PRED_BF,59.3
10,MLI,1987,NT_BF_PRED_BF,84.4
11,THA,1987,NT_BF_PRED_BF,28.6
12,TTO,1987,NT_BF_PRED_BF,57.5
13,GHA,1988,NT_BF_PRED_BF,76.9
14,TGO,1988,NT_BF_PRED_BF,91.4
15,TUN,1988,NT_BF_PRED_BF,56.9
16,UGA,1988,NT_BF_PRED_BF,78.8
17,ZWE,1988,NT_BF_PRED_BF,51.0
18,BOL,1989,NT_BF_PRED_BF,68.2
19,KEN,1989,NT_BF_PRED_BF,45.7
20,BGD,1993,NT_BF_PRED_BF,67.7
21,BOL,1993,NT_BF_PRED_BF,56.8
22,CAF,1994,NT_BF_PRED_BF,50.4
23,CIV,1994,NT_BF_PRED_BF,75.2
24,HTI,1994,NT_BF_PRED_BF,18.5
25,IDN,1994,NT_BF_PRED_BF,47.8
26,ZWE,1994,NT_BF_PRED_BF,44.2
27,COL,1995,NT_BF_PRED_BF,24.3
28,EGY,1995,NT_BF_PRED_BF,71.8
29,ERI,1995,NT_BF_PRED_BF,89.6
30,GTM,1995,NT_BF_PRED_BF,74.8
31,MLI,1995,NT_BF_PRED_BF,88.3
32,UGA,1995,NT_BF_PRED_BF,69.3
33,BEN,1996,NT_BF_PRED_BF,60.6
34,BGD,1996,NT_BF_PRED_BF,70.5
35,COM,1996,NT_BF_PRED_BF,38.7
36,DOM,1996,NT_BF_PRED_BF,32.3
37,NPL,1996,NT_BF_PRED_BF,78.7
38,PAN,1996,NT_BF_PRED_BF,29.0
39,PER,1996,NT_BF_PRED_BF,73.1
40,TCD,1996,NT_BF_PRED_BF,76.7
41,TZA,1996,NT_BF_PRED_BF,53.7
42,ZMB,1996,NT_BF_PRED_BF,56.1
43,IDN,1997,NT_BF_PRED_BF,50.5
44,JOR,1997,NT_BF_PRED_BF,42.5
45,MDG,1997,NT_BF_PRED_BF,71.4
46,MOZ,1997,NT_BF_PRED_BF,67.5
47,NIC,1997,NT_BF_PRED_BF,33.1
48,VNM,1997,NT_BF_PRED_BF,48.3
49,BFA,1998,NT_BF_PRED_BF,88.2
50,BOL,1998,NT_BF_PRED_BF,63.5
51,CIV,1998,NT_BF_PRED_BF,71.8
52,CMR,1998,NT_BF_PRED_BF,60.8
53,GHA,1998,NT_BF_PRED_BF,76.8
54,GTM,1998,NT_BF_PRED_BF,65.1
55,IND,1998,NT_BF_PRED_BF,73.8
56,KEN,1998,NT_BF_PRED_BF,37.2
57,NER,1998,NT_BF_PRED_BF,80.8
58,PHL,1998,NT_BF_PRED_BF,49.9
59,TGO,1998,NT_BF_PRED_BF,52.4
60,TUR,1998,NT_BF_PRED_BF,54.1
61,ZAF,1998,NT_BF_PRED_BF,23.4
62,DOM,1999,NT_BF_PRED_BF,30.6
