,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
0,COM,2011,GN_FB_BNK_ACCSS,Y_GE15,F,17.89
1,COM,2011,GN_FB_BNK_ACCSS,Y_GE15,M,25.7
2,DJI,2011,GN_FB_BNK_ACCSS,Y_GE15,M,16.63
3,DJI,2011,GN_FB_BNK_ACCSS,Y_GE15,F,8.76
4,OMN,2011,GN_FB_BNK_ACCSS,Y_GE15,F,63.53
5,OMN,2011,GN_FB_BNK_ACCSS,Y_GE15,M,83.75
6,QAT,2011,GN_FB_BNK_ACCSS,Y_GE15,F,61.57
7,QAT,2011,GN_FB_BNK_ACCSS,Y_GE15,M,68.57
8,SWZ,2011,GN_FB_BNK_ACCSS,Y_GE15,F,27.41
9,SWZ,2011,GN_FB_BNK_ACCSS,Y_GE15,M,29.74
10,SYR,2011,GN_FB_BNK_ACCSS,Y_GE15,F,19.59
11,SYR,2011,GN_FB_BNK_ACCSS,Y_GE15,M,26.77
12,AGO,2014,GN_ED_ATTN,Y_GE25,F,12.2926
13,AGO,2014,GN_ED_ATTN,Y_GE25,M,19.85885
14,AGO,2014,GN_FB_BNK_ACCSS,Y_GE15,F,22.33
15,AGO,2014,GN_FB_BNK_ACCSS,Y_GE15,M,36.13
16,BDI,2014,GN_FB_BNK_ACCSS,Y_GE15,F,6.73
17,BDI,2014,GN_FB_BNK_ACCSS,Y_GE15,M,7.5
18,BFA,2014,GN_ED_ATTN,Y_GE25,F,1.57192
19,BFA,2014,GN_ED_ATTN,Y_GE25,M,4.29634
20,BLZ,2014,GN_FB_BNK_ACCSS,Y_GE15,M,44.09
21,BLZ,2014,GN_FB_BNK_ACCSS,Y_GE15,F,52.28
22,BTN,2014,GN_FB_BNK_ACCSS,Y_GE15,F,27.68
23,BTN,2014,GN_FB_BNK_ACCSS,Y_GE15,M,38.99
24,CIV,2014,GN_ED_ATTN,Y_GE25,M,15.25335
25,CIV,2014,GN_ED_ATTN,Y_GE25,F,6.94469
