,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
0,AFG,2000,HVA_PED_ART_NUM,_T,_T,0
1,AFG,2000,HVA_EPI_DTH_RT_10-19,_T,_T,0.02
2,AFG,2000,HVA_EPI_DTH_RT_0-14,_T,M,0.16
3,AFG,2000,HVA_EPI_DTH_RT_0-14,_T,_T,0.16
4,AFG,2000,HVA_EPI_DTH_RT_0-14,_T,F,0.17
5,AFG,2000,HVA_PED_LOST,_T,_T,1090000
6,AFG,2000,HVA_PMTCT_MTCT,_T,_T,51.01
7,AFG,2000,HVA_PED_LOST_AIDS,_T,_T,580
8,AFG,2000,HVA_EPI_DTH_RT_10-19,_T,F,<0.01
9,AFG,2000,HVA_EPI_DTH_RT_10-19,_T,M,<0.01
10,AFG,2000,HVA_EPI_INF_RT_0-14,_T,F,<0.01
11,AFG,2000,HVA_EPI_INF_RT_0-14,_T,M,<0.01
12,AFG,2000,HVA_EPI_INF_RT_0-14,_T,_T,<0.01
13,AFG,2000,HVA_EPI_INF_RT_10-19,_T,F,<0.01
14,AFG,2000,HVA_EPI_INF_RT_10-19,_T,M,<0.01
15,AFG,2000,HVA_EPI_INF_RT_10-19,_T,_T,<0.01
16,AFG,2000,HVA_PED_ART_CVG,_T,_T,<1
17,AFG,2000,HVA_EPI_DTH_ANN_0-19,_T,F,<100
18,AFG,2000,HVA_EPI_DTH_ANN_0-19,_T,M,<100
19,AFG,2000,HVA_EPI_DTH_ANN_0-19,_T,_T,<100
20,AFG,2000,HVA_EPI_DTH_ANN_15-24,_T,F,<100
21,AFG,2000,HVA_EPI_DTH_ANN_15-24,_T,M,<100
22,AFG,2000,HVA_EPI_DTH_ANN_15-24,_T,_T,<100
23,AFG,2000,HVA_EPI_INF_ANN_0-19,_T,F,<100
24,AFG,2000,HVA_EPI_INF_ANN_0-19,_T,M,<100
25,AFG,2000,HVA_EPI_INF_ANN_0-19,_T,_T,<100
26,AFG,2000,HVA_EPI_INF_ANN_15-24,_T,F,<100
27,AFG,2000,HVA_EPI_INF_ANN_15-24,_T,M,<100
28,AFG,2000,HVA_EPI_INF_ANN_15-24,_T,_T,<100
29,AFG,2000,HVA_EPI_LHIV_0-19,_T,F,<100
30,AFG,2000,HVA_EPI_LHIV_0-19,_T,M,<100
31,AFG,2000,HVA_EPI_LHIV_15-24,_T,F,<100
32,AFG,2000,HVA_EPI_LHIV_0-19,_T,_T,<200
33,AFG,2000,HVA_EPI_LHIV_15-24,_T,M,<200
34,AFG,2000,HVA_EPI_LHIV_15-24,_T,_T,<500
35,AGO,2000,HVA_PED_ART_NUM,_T,_T,0
36,AGO,2000,HVA_EPI_INF_RT_10-19,_T,M,0.72
37,AGO,2000,HVA_EPI_DTH_RT_10-19,_T,M,1.12
38,AGO,2000,HVA_EPI_INF_RT_0-14,_T,F,1.28
39,AGO,2000,HVA_EPI_INF_RT_0-14,_T,_T,1.3
40,AGO,2000,HVA_EPI_INF_RT_0-14,_T,M,1.31
41,AGO,2000,HVA_EPI_INF_RT_10-19,_T,_T,1.55
42,AGO,2000,HVA_EPI_DTH_RT_10-19,_T,_T,1.65
43,AGO,2000,HVA_EPI_LHIV_0-19,_T,F,10000
44,AGO,2000,HVA_PED_LOST,_T,_T,1070000
45,AGO,2000,HVA_EPI_DTH_ANN_0-19,_T,F,1100
46,AGO,2000,HVA_EPI_DTH_ANN_0-19,_T,M,1100
47,AGO,2000,HVA_EPI_LHIV_15-24,_T,F,16000
48,AGO,2000,HVA_EPI_LHIV_0-19,_T,_T,17000
49,AGO,2000,HVA_PED_LOST_AIDS,_T,_T,19000
50,AGO,2000,HVA_EPI_DTH_RT_10-19,_T,F,2.17
51,AGO,2000,HVA_EPI_INF_RT_10-19,_T,F,2.37
52,AGO,2000,HVA_EPI_INF_ANN_15-24,_T,M,2100
53,AGO,2000,HVA_EPI_DTH_ANN_0-19,_T,_T,2200
54,AGO,2000,HVA_EPI_LHIV_15-24,_T,_T,23000
55,AGO,2000,HVA_EPI_DTH_RT_0-14,_T,F,27.38
56,AGO,2000,HVA_EPI_DTH_RT_0-14,_T,_T,27.74
57,AGO,2000,HVA_EPI_INF_ANN_0-19,_T,M,2700
58,AGO,2000,HVA_EPI_DTH_RT_0-14,_T,M,28.07
59,AGO,2000,HVA_PMTCT_MTCT,_T,_T,39
60,AGO,2000,HVA_EPI_INF_ANN_0-19,_T,F,4100
61,AGO,2000,HVA_EPI_INF_ANN_15-24,_T,F,4200
62,AGO,2000,HVA_EPI_INF_ANN_15-24,_T,_T,6400
63,AGO,2000,HVA_EPI_LHIV_0-19,_T,M,6400
64,AGO,2000,HVA_EPI_LHIV_15-24,_T,M,6700
65,AGO,2000,HVA_EPI_INF_ANN_0-19,_T,_T,6800
66,AGO,2000,HVA_PED_ART_CVG,_T,_T,<1
67,AGO,2000,HVA_EPI_DTH_ANN_15-24,_T,M,<100
68,AGO,2000,HVA_EPI_DTH_ANN_15-24,_T,F,<200
69,AGO,2000,HVA_EPI_DTH_ANN_15-24,_T,_T,<500
70,ALB,2000,HVA_PED_LOST,_T,_T,50000
71,ALB,2000,HVA_EPI_DTH_ANN_15-24,_T,F,<100
72,ALB,2000,HVA_EPI_DTH_ANN_15-24,_T,M,<100
73,ALB,2000,HVA_EPI_DTH_ANN_15-24,_T,_T,<100
74,ALB,2000,HVA_EPI_INF_ANN_15-24,_T,F,<100
75,ALB,2000,HVA_EPI_INF_ANN_15-24,_T,M,<100
76,ALB,2000,HVA_EPI_INF_ANN_15-24,_T,_T,<100
77,ALB,2000,HVA_EPI_LHIV_15-24,_T,F,<100
78,ALB,2000,HVA_EPI_LHIV_15-24,_T,M,<100
79,ALB,2000,HVA_EPI_LHIV_15-24,_T,_T,<100
80,ALB,2000,HVA_PED_LOST_AIDS,_T,_T,<100
81,ARE,2000,HVA_PED_LOST,_T,_T,7500
82,ARE,2000,HVA_EPI_DTH_ANN_15-24,_T,F,<100
83,ARE,2000,HVA_EPI_DTH_ANN_15-24,_T,M,<100
84,ARE,2000,HVA_EPI_DTH_ANN_15-24,_T,_T,<100
85,ARE,2000,HVA_EPI_INF_ANN_15-24,_T,F,<100
86,ARE,2000,HVA_EPI_INF_ANN_15-24,_T,M,<100
87,ARE,2000,HVA_EPI_INF_ANN_15-24,_T,_T,<100
88,ARE,2000,HVA_EPI_LHIV_15-24,_T,F,<100
89,ARE,2000,HVA_EPI_LHIV_15-24,_T,M,<100
90,ARE,2000,HVA_EPI_LHIV_15-24,_T,_T,<100
91,ARE,2000,HVA_PED_LOST_AIDS,_T,_T,<100
92,ARG,2000,HVA_EPI_INF_RT_10-19,_T,F,0.05
93,ARG,2000,HVA_EPI_INF_RT_10-19,_T,_T,0.07
94,ARG,2000,HVA_EPI_INF_RT_0-14,_T,F,0.08
95,ARG,2000,HVA_EPI_INF_RT_0-14,_T,M,0.08
96,ARG,2000,HVA_EPI_INF_RT_0-14,_T,_T,0.08
97,ARG,2000,HVA_EPI_INF_RT_10-19,_T,M,0.08
98,ARG,2000,HVA_EPI_DTH_RT_10-19,_T,F,0.09
99,ARG,2000,HVA_EPI_DTH_RT_10-19,_T,M,0.09
100,ARG,2000,HVA_EPI_DTH_RT_10-19,_T,_T,0.09
101,ARG,2000,HVA_EPI_DTH_RT_0-14,_T,F,1.52
102,ARG,2000,HVA_EPI_DTH_RT_0-14,_T,_T,1.53
103,ARG,2000,HVA_EPI_DTH_RT_0-14,_T,M,1.55
104,ARG,2000,HVA_PED_ART_NUM,_T,_T,1100
105,ARG,2000,HVA_PED_LOST_AIDS,_T,_T,11000
106,ARG,2000,HVA_EPI_INF_ANN_15-24,_T,_T,1200
107,ARG,2000,HVA_EPI_LHIV_15-24,_T,F,1500
108,ARG,2000,HVA_EPI_LHIV_0-19,_T,_T,1600
109,ARG,2000,HVA_PMTCT_MTCT,_T,_T,17.9
110,ARG,2000,HVA_EPI_LHIV_15-24,_T,M,2700
111,ARG,2000,HVA_EPI_LHIV_15-24,_T,_T,4200
112,ARG,2000,HVA_PED_LOST,_T,_T,710000
113,ARG,2000,HVA_EPI_LHIV_0-19,_T,F,780
114,ARG,2000,HVA_EPI_INF_ANN_15-24,_T,M,800
115,ARG,2000,HVA_EPI_LHIV_0-19,_T,M,850
116,ARG,2000,HVA_EPI_DTH_ANN_0-19,_T,F,<100
117,ARG,2000,HVA_EPI_DTH_ANN_0-19,_T,M,<100
118,ARG,2000,HVA_EPI_DTH_ANN_15-24,_T,F,<100
119,ARG,2000,HVA_EPI_DTH_ANN_15-24,_T,M,<100
120,ARG,2000,HVA_EPI_DTH_ANN_15-24,_T,_T,<100
121,ARG,2000,HVA_EPI_DTH_ANN_0-19,_T,_T,<200
122,ARG,2000,HVA_EPI_INF_ANN_0-19,_T,F,<500
123,ARG,2000,HVA_EPI_INF_ANN_0-19,_T,M,<500
124,ARG,2000,HVA_EPI_INF_ANN_0-19,_T,_T,<500
125,ARG,2000,HVA_EPI_INF_ANN_15-24,_T,F,<500
126,ARG,2000,HVA_PED_ART_CVG,_T,_T,>95
127,ARM,2000,HVA_PED_ART_NUM,_T,_T,0
128,ARM,2000,HVA_EPI_INF_RT_0-14,_T,_T,0.01
129,ARM,2000,HVA_EPI_INF_RT_0-14,_T,F,0.02
130,ARM,2000,HVA_EPI_INF_RT_0-14,_T,M,0.02
131,ARM,2000,HVA_EPI_INF_RT_10-19,_T,F,0.06
132,ARM,2000,HVA_EPI_INF_RT_10-19,_T,M,0.07
133,ARM,2000,HVA_EPI_INF_RT_10-19,_T,_T,0.07
134,ARM,2000,HVA_EPI_DTH_RT_0-14,_T,M,0.24
135,ARM,2000,HVA_EPI_DTH_RT_0-14,_T,_T,0.25
136,ARM,2000,HVA_EPI_DTH_RT_0-14,_T,F,0.26
137,ARM,2000,HVA_PMTCT_MTCT,_T,_T,25.48
138,ARM,2000,HVA_PREV_KNOW_TEST,Y15T24,M,30.5
139,ARM,2000,HVA_PREV_KNOW_TEST,Y15T24,F,37.299999
140,ARM,2000,HVA_PED_LOST,_T,_T,67000
141,ARM,2000,HVA_PREV_KNOW,Y15T24,F,9.3000002
142,ARM,2000,HVA_EPI_DTH_RT_10-19,_T,F,<0.01
143,ARM,2000,HVA_EPI_DTH_RT_10-19,_T,M,<0.01
144,ARM,2000,HVA_EPI_DTH_RT_10-19,_T,_T,<0.01
145,ARM,2000,HVA_PED_ART_CVG,_T,_T,<1
146,ARM,2000,HVA_EPI_DTH_ANN_0-19,_T,F,<100
147,ARM,2000,HVA_EPI_DTH_ANN_0-19,_T,M,<100
148,ARM,2000,HVA_EPI_DTH_ANN_0-19,_T,_T,<100
149,ARM,2000,HVA_EPI_DTH_ANN_15-24,_T,F,<100
150,ARM,2000,HVA_EPI_DTH_ANN_15-24,_T,M,<100
151,ARM,2000,HVA_EPI_DTH_ANN_15-24,_T,_T,<100
152,ARM,2000,HVA_EPI_INF_ANN_0-19,_T,F,<100
153,ARM,2000,HVA_EPI_INF_ANN_0-19,_T,M,<100
154,ARM,2000,HVA_EPI_INF_ANN_0-19,_T,_T,<100
155,ARM,2000,HVA_EPI_INF_ANN_15-24,_T,F,<100
156,ARM,2000,HVA_EPI_INF_ANN_15-24,_T,M,<100
157,ARM,2000,HVA_EPI_INF_ANN_15-24,_T,_T,<100
158,ARM,2000,HVA_EPI_LHIV_0-19,_T,F,<100
159,ARM,2000,HVA_EPI_LHIV_0-19,_T,M,<100
160,ARM,2000,HVA_EPI_LHIV_0-19,_T,_T,<100
161,ARM,2000,HVA_EPI_LHIV_15-24,_T,F,<100
162,ARM,2000,HVA_PED_LOST_AIDS,_T,_T,<100
163,ARM,2000,HVA_EPI_LHIV_15-24,_T,M,<200
164,ARM,2000,HVA_EPI_LHIV_15-24,_T,_T,<200
165,AUS,2000,HVA_PED_LOST,_T,_T,160000
166,AUS,2000,HVA_PED_LOST_AIDS,_T,_T,3200
167,AUS,2000,HVA_EPI_DTH_ANN_15-24,_T,F,<100
168,AUS,2000,HVA_EPI_DTH_ANN_15-24,_T,M,<100
169,AUS,2000,HVA_EPI_DTH_ANN_15-24,_T,_T,<100
170,AUS,2000,HVA_EPI_INF_ANN_15-24,_T,F,<100
171,AUS,2000,HVA_EPI_INF_ANN_15-24,_T,M,<100
172,AUS,2000,HVA_EPI_INF_ANN_15-24,_T,_T,<100
173,AUS,2000,HVA_EPI_LHIV_15-24,_T,F,<100
174,AUS,2000,HVA_EPI_LHIV_15-24,_T,M,<200
175,AUS,2000,HVA_EPI_LHIV_15-24,_T,_T,<200
176,AZE,2000,HVA_PED_ART_NUM,_T,_T,0
177,AZE,2000,HVA_EPI_INF_RT_0-14,_T,F,0.03
178,AZE,2000,HVA_EPI_INF_RT_0-14,_T,_T,0.03
179,AZE,2000,HVA_EPI_INF_RT_0-14,_T,M,0.04
180,AZE,2000,HVA_EPI_INF_RT_10-19,_T,M,0.06
181,AZE,2000,HVA_EPI_INF_RT_10-19,_T,F,0.07
182,AZE,2000,HVA_EPI_INF_RT_10-19,_T,_T,0.07
