,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
0,AFG,1980,IM_PAB,Y0,_T,1
1,AFG,1980,IM_MCV1,M12T23,_T,11
2,AFG,1980,IM_DTP1,M12T23,_T,22
3,AFG,1980,IM_DTP3,M12T23,_T,4
4,ALB,1980,IM_MCV1,M12T23,_T,90
5,ALB,1980,IM_POL3,M12T23,_T,92
6,ALB,1980,IM_BCG,Y0,_T,93
7,ALB,1980,IM_DTP3,M12T23,_T,94
8,ALB,1980,IM_DTP1,M12T23,_T,97
9,ARE,1980,IM_DTP3,M12T23,_T,11
10,ARE,1980,IM_POL3,M12T23,_T,11
11,ARE,1980,IM_BCG,Y0,_T,15
12,ARE,1980,IM_DTP1,M12T23,_T,32
13,ARE,1980,IM_MCV1,M12T23,_T,34
14,ARG,1980,IM_POL3,M12T23,_T,33
15,ARG,1980,IM_DTP3,M12T23,_T,44
16,ARG,1980,IM_MCV1,M12T23,_T,61
17,ARG,1980,IM_BCG,Y0,_T,62
18,ARG,1980,IM_DTP1,M12T23,_T,69
19,ATG,1980,IM_POL3,M12T23,_T,36
20,ATG,1980,IM_DTP3,M12T23,_T,54
21,ATG,1980,IM_DTP1,M12T23,_T,77
22,AUS,1980,IM_POL3,M12T23,_T,17
23,AUS,1980,IM_DTP3,M12T23,_T,33
24,AUS,1980,IM_DTP1,M12T23,_T,58
25,AUT,1980,IM_BCG,Y0,_T,90
26,AUT,1980,IM_DTP3,M12T23,_T,90
27,AUT,1980,IM_POL3,M12T23,_T,90
28,AUT,1980,IM_DTP1,M12T23,_T,96
29,BEL,1980,IM_DTP3,M12T23,_T,95
30,BEL,1980,IM_DTP1,M12T23,_T,98
31,BEL,1980,IM_POL3,M12T23,_T,99
32,BGD,1980,IM_PAB,Y0,_T,2
33,BGR,1980,IM_DTP1,M12T23,_T,98
34,BGR,1980,IM_DTP3,M12T23,_T,98
35,BGR,1980,IM_MCV1,M12T23,_T,98
36,BGR,1980,IM_BCG,Y0,_T,99
37,BGR,1980,IM_POL3,M12T23,_T,99
38,BHR,1980,IM_MCV1,M12T23,_T,45
39,BHR,1980,IM_RCV1,M12T23,_T,45
40,BHR,1980,IM_PAB,Y0,_T,5
