,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
0,AFG,2000,MNCH_MMR,Y15T49,F,1450
1,AFG,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,15000
2,AFG,2000,MNCH_UHC,_T,_T,21
3,AFG,2000,MNCH_UHC_RMNCH,_T,_T,26
4,AGO,2000,MNCH_UHC,_T,_T,22
5,AGO,2000,MNCH_UHC_RMNCH,_T,_T,33
6,AGO,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,6600
7,AGO,2000,MNCH_MMR,Y15T49,F,827
8,ALB,2000,MNCH_DIARCARE,Y0T4,F,11.2
9,ALB,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,12
10,ALB,2000,MNCH_ORS,Y0T4,M,18.6
11,ALB,2000,MNCH_MMR,Y15T49,F,23
12,ALB,2000,MNCH_ORS,Y0T4,_T,23.5
13,ALB,2000,MNCH_DIARCARE,Y0T4,M,3.4
14,ALB,2000,MNCH_ORS,Y0T4,F,31.1
15,ALB,2000,MNCH_ORTCF,Y0T4,M,44
16,ALB,2000,MNCH_UHC,_T,_T,45
17,ALB,2000,MNCH_UHC_RMNCH,_T,_T,49
18,ALB,2000,MNCH_ORTCF,Y0T4,_T,51
19,ALB,2000,MNCH_DIARCARE,Y0T4,_T,6.4
20,ALB,2000,MNCH_ORTCF,Y0T4,F,62
21,ALB,2000,MNCH_PNEUCARE,Y0T4,_T,83
22,ALB,2000,MNCH_ANC1,Y15T49,F,95.3
23,ALB,2000,MNCH_SAB,Y15T49,F,99.1
24,AND,2000,MNCH_UHC_RMNCH,_T,_T,83
25,ARE,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,3
26,ARE,2000,MNCH_UHC,_T,_T,51
27,ARE,2000,MNCH_MMR,Y15T49,F,6
28,ARE,2000,MNCH_UHC_RMNCH,_T,_T,78
29,ARG,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,480
30,ARG,2000,MNCH_MMR,Y15T49,F,66
31,ARG,2000,MNCH_UHC,_T,_T,68
32,ARG,2000,MNCH_UHC_RMNCH,_T,_T,85
33,ARG,2000,MNCH_INSTDEL,_T,_T,97.9
34,ARG,2000,MNCH_SAB,Y15T49,F,99.1
35,ARM,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,17
36,ARM,2000,MNCH_PNEUCARE,Y0T4,M,24
37,ARM,2000,MNCH_DIARCARE,Y0T4,M,24.1
38,ARM,2000,MNCH_PNEUCARE,Y0T4,_T,26
39,ARM,2000,MNCH_DIARCARE,Y0T4,_T,26.1
40,ARM,2000,MNCH_DEMAND_FP,Y15T49,_T,28.3
41,ARM,2000,MNCH_PNEUCARE,Y0T4,F,29
42,ARM,2000,MNCH_DIARCARE,Y0T4,F,29.4
43,ARM,2000,MNCH_ORS,Y0T4,_T,33
44,ARM,2000,MNCH_MMR,Y15T49,F,43
45,ARM,2000,MNCH_UHC,_T,_T,46
46,ARM,2000,MNCH_ORTCF,Y0T4,M,47
47,ARM,2000,MNCH_ORTCF,Y0T4,_T,48
48,ARM,2000,MNCH_UHC_RMNCH,_T,_T,48
49,ARM,2000,MNCH_ORTCF,Y0T4,F,49
50,ARM,2000,MNCH_CSEC,_T,_T,6.6
51,ARM,2000,MNCH_ANC4,Y15T49,F,64.7
52,ARM,2000,MNCH_BIRTH18,Y20T24,F,8
53,ARM,2000,MNCH_INSTDEL,_T,_T,91.3
54,ARM,2000,MNCH_ANC1,Y15T49,F,92.4
55,ARM,2000,MNCH_SAB,Y15T49,F,96.8
56,ATG,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,1
57,ATG,2000,MNCH_UHC,_T,_T,43
58,ATG,2000,MNCH_MMR,Y15T49,F,44
59,ATG,2000,MNCH_UHC_RMNCH,_T,_T,85
60,ATG,2000,MNCH_ANC1,Y15T49,F,99.9
61,ATG,2000,MNCH_SAB,Y15T49,F,99.9
62,AUS,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,17
63,AUS,2000,MNCH_MMR,Y15T49,F,7
64,AUS,2000,MNCH_UHC,_T,_T,80
65,AUS,2000,MNCH_UHC_RMNCH,_T,_T,88
66,AUS,2000,MNCH_INSTDEL,_T,_T,99.3
67,AUS,2000,MNCH_SAB,Y15T49,F,99.3
68,AUT,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,5
69,AUT,2000,MNCH_MMR,Y15T49,F,6
70,AUT,2000,MNCH_UHC,_T,_T,66
71,AUT,2000,MNCH_UHC_RMNCH,_T,_T,86
72,AUT,2000,MNCH_INSTDEL,_T,_T,98.3
73,AUT,2000,MNCH_SAB,Y15T49,F,98.3
74,AZE,2000,MNCH_ITN,Y0T4,F,1
75,AZE,2000,MNCH_ITN,Y0T4,_T,1
76,AZE,2000,MNCH_ORS,Y0T4,_T,10.1
77,AZE,2000,MNCH_ORS,Y0T4,F,10.9
78,AZE,2000,MNCH_ITN,Y0T4,M,2
79,AZE,2000,MNCH_DIARCARE,Y0T4,M,2.6
80,AZE,2000,MNCH_DIARCARE,Y0T4,_T,3.2
81,AZE,2000,MNCH_PNEUCARE,Y0T4,M,30
82,AZE,2000,MNCH_PNEUCARE,Y0T4,_T,36
83,AZE,2000,MNCH_ORTCF,Y0T4,F,37
84,AZE,2000,MNCH_DIARCARE,Y0T4,F,4
85,AZE,2000,MNCH_ORTCF,Y0T4,_T,40
86,AZE,2000,MNCH_UHC_RMNCH,_T,_T,41
87,AZE,2000,MNCH_PNEUCARE,Y0T4,F,42
88,AZE,2000,MNCH_ORTCF,Y0T4,M,43
89,AZE,2000,MNCH_UHC,_T,_T,44
90,AZE,2000,MNCH_MMR,Y15T49,F,47
91,AZE,2000,MNCH_ANC1,Y15T49,F,66
92,AZE,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,66
93,AZE,2000,MNCH_SAB,Y15T49,F,80.7
94,AZE,2000,MNCH_ORS,Y0T4,M,9.5
95,BDI,2000,MNCH_ITN,Y0T4,F,1
96,BDI,2000,MNCH_ITN,Y0T4,M,1
97,BDI,2000,MNCH_ITN,Y0T4,_T,1
98,BDI,2000,MNCH_MMR,Y15T49,F,1010
99,BDI,2000,MNCH_ORS,Y0T4,_T,11
100,BDI,2000,MNCH_DIARCARE,Y0T4,M,12.6
101,BDI,2000,MNCH_ORS,Y0T4,M,12.6
102,BDI,2000,MNCH_DIARCARE,Y0T4,_T,13.7
103,BDI,2000,MNCH_ORTCF,Y0T4,F,14
104,BDI,2000,MNCH_DIARCARE,Y0T4,F,14.8
105,BDI,2000,MNCH_ORTCF,Y0T4,_T,16
106,BDI,2000,MNCH_ORTCF,Y0T4,M,17
107,BDI,2000,MNCH_UHC,_T,_T,17
108,BDI,2000,MNCH_SAB,Y15T49,F,25.2
109,BDI,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,2800
110,BDI,2000,MNCH_UHC_RMNCH,_T,_T,37
111,BDI,2000,MNCH_PNEUCARE,Y0T4,F,39
112,BDI,2000,MNCH_PNEUCARE,Y0T4,M,40
113,BDI,2000,MNCH_PNEUCARE,Y0T4,_T,40
114,BDI,2000,MNCH_ANC1,Y15T49,F,78
115,BDI,2000,MNCH_ORS,Y0T4,F,9.1
116,BEL,2000,MNCH_UHC,_T,_T,76
117,BEL,2000,MNCH_MMR,Y15T49,F,8
118,BEL,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,9
119,BEL,2000,MNCH_UHC_RMNCH,_T,_T,91
120,BEN,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,1500
121,BEN,2000,MNCH_UHC,_T,_T,23
122,BEN,2000,MNCH_UHC_RMNCH,_T,_T,39
123,BEN,2000,MNCH_MMR,Y15T49,F,520
124,BFA,2000,MNCH_UHC,_T,_T,19
125,BFA,2000,MNCH_UHC_RMNCH,_T,_T,25
126,BFA,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,2800
127,BFA,2000,MNCH_MMR,Y15T49,F,516
128,BGD,2000,MNCH_ANC4,Y15T49,F,10.5
129,BGD,2000,MNCH_INSTDEL,_T,_T,11.9
130,BGD,2000,MNCH_SAB,Y15T49,F,12.1
131,BGD,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,15000
132,BGD,2000,MNCH_CSEC,_T,_T,2.4
133,BGD,2000,MNCH_UHC,_T,_T,24
134,BGD,2000,MNCH_PNEUCARE,Y0T4,F,25
135,BGD,2000,MNCH_PNEUCARE,Y0T4,_T,27
136,BGD,2000,MNCH_PNEUCARE,Y0T4,M,29
137,BGD,2000,MNCH_ANC1,Y15T49,F,33.3
138,BGD,2000,MNCH_UHC_RMNCH,_T,_T,35
139,BGD,2000,MNCH_ANC1,Y15T49,F,39.7
140,BGD,2000,MNCH_MMR,Y15T49,F,434
141,BGD,2000,MNCH_DEMAND_FP,Y15T49,_T,60.2
142,BGD,2000,MNCH_ORS,Y0T4,M,60.9
143,BGD,2000,MNCH_ORS,Y0T4,_T,61.4
144,BGD,2000,MNCH_ORS,Y0T4,F,61.9
145,BGD,2000,MNCH_ORS,Y0T4,_T,62.7
146,BGD,2000,MNCH_INSTDEL,_T,_T,7.9
147,BGR,2000,MNCH_MATERNAL_DEATHS,Y15T49,F,13
148,BGR,2000,MNCH_MMR,Y15T49,F,19
149,BGR,2000,MNCH_UHC,_T,_T,67
150,BGR,2000,MNCH_UHC_RMNCH,_T,_T,70
151,BGR,2000,MNCH_SAB,Y15T49,F,99.8
152,BHR,2000,MNCH_MMR,Y15T49,F,27
