,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
0,BWA,1988,PT_F_15-19_MRD,Y15T19,_T,5.8
1,NIC,1998,PT_M_15-19_MRD,Y15T19,_T,7.5
2,UZB,2002,PT_M_20-24_MRD_U18,Y20T24,_T,0.5
3,UZB,2002,PT_M_15-19_MRD,Y15T19,_T,1.4
4,UZB,2002,PT_F_15-49_W-BTNG,Y15T49,_T,69.6
5,KEN,2003,PT_ST_13-15_BUL_30-DYS,Y13T15,M,56.6
6,KEN,2003,PT_ST_13-15_BUL_30-DYS,Y13T15,_T,57.1
7,KEN,2003,PT_ST_13-15_BUL_30-DYS,Y13T15,F,57.4
8,PHL,2003,PT_M_20-24_MRD_U18,Y20T24,_T,2.9
9,UGA,2003,PT_ST_13-15_BUL_30-DYS,Y13T15,F,41.1
10,UGA,2003,PT_ST_13-15_BUL_30-DYS,Y13T15,_T,45.5
11,UGA,2003,PT_ST_13-15_BUL_30-DYS,Y13T15,M,50
12,CMR,2004,PT_F_15-49_FGM,Y15T49,_T,1.4
13,CMR,2004,PT_F_15-49_FGM_ELIM,Y15T49,_T,84.1
14,CMR,2004,PT_M_15-49_FGM_ELIM,Y15T49,_T,84.6
15,MAR,2004,PT_F_15-49_W-BTNG,Y15T49,_T,63.9
16,PSE,2004,PT_M_15-19_MRD,Y15T19,_T,0.5
17,TCD,2004,PT_M_15-49_FGM_ELIM,Y15T49,_T,48.6
18,ZMB,2004,PT_ST_13-15_BUL_30-DYS,Y13T15,M,62.5
19,ZMB,2004,PT_ST_13-15_BUL_30-DYS,Y13T15,_T,65.1
20,ZMB,2004,PT_ST_13-15_BUL_30-DYS,Y13T15,F,67.1
21,ALB,2005,PT_CHLD_LBR_THRSLD_HC,Y10T14,M,0.3
22,ALB,2005,PT_CHLD_LBR_THRSLD_HC,Y10T14,_T,1
23,ALB,2005,PT_CHLD_LBR_THRSLD_HC,Y10T14,F,1.7
24,ALB,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,M,10.6
25,ALB,2005,PT_CHLD_LBR_THRSLD_ECON,Y10T14,F,11.6
26,ALB,2005,PT_CHLD_LBR_THRSLD_ECON,Y10T14,_T,14.8
27,ALB,2005,PT_CHLD_LBR_THRSLD_ECON,Y10T14,M,17.8
28,ALB,2005,PT_CHLD_LBR_TIME_HC,Y10T14,M,6.3
29,ALB,2005,PT_CHLD_LBR_TIME_HC,Y10T14,_T,7.4
30,ALB,2005,PT_CHLD_LBR_TIME_HC,Y10T14,F,8.1
31,ALB,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,F,8.8
32,ALB,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,_T,9.8
33,BWA,2005,PT_ST_13-15_BUL_30-DYS,Y13T15,F,51.8
34,BWA,2005,PT_ST_13-15_BUL_30-DYS,Y13T15,_T,52.1
35,BWA,2005,PT_ST_13-15_BUL_30-DYS,Y13T15,M,52.6
36,CPV,2005,PT_M_20-24_MRD_U18,Y20T24,_T,3
37,GEO,2005,PT_CHLD_LBR_THRSLD_HC,Y10T14,F,1
38,GEO,2005,PT_CHLD_LBR_THRSLD_HC,Y10T14,_T,1.4
39,GEO,2005,PT_CHLD_LBR_THRSLD_HC,Y10T14,M,1.6
40,GEO,2005,PT_CHLD_LBR_THRSLD_ECON,Y10T14,F,11.9
41,GEO,2005,PT_CHLD_LBR_THRSLD_ECON,Y10T14,_T,13.8
42,GEO,2005,PT_CHLD_LBR_THRSLD_ECON,Y10T14,M,15.7
43,GEO,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,F,4.6
44,GEO,2005,PT_CHLD_LBR_TIME_HC,Y10T14,F,4.9
45,GEO,2005,PT_CHLD_LBR_TIME_HC,Y10T14,_T,4.9
46,GEO,2005,PT_CHLD_LBR_TIME_HC,Y10T14,M,5
47,GEO,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,_T,5.3
48,GEO,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,M,5.8
49,GEO,2005,PT_F_15-49_W-BTNG,Y15T49,_T,6.9
50,MDA,2005,PT_F_GE15_SX_V_PTNR_12MNTH,Y15T19,_T,0.8
51,MDA,2005,PT_F_GE15_PS-SX-EM_V_PTNR_12MNTH,Y15T49,_T,14.6
52,MDA,2005,PT_F_15-17_SX-V,Y15T17,_T,4.8
53,MDA,2005,PT_F_18-29_SX-V_AGE-18,Y18T29,_T,5.2
54,TJK,2005,PT_CHLD_LBR_TIME_HC,Y10T14,M,13.9
55,TJK,2005,PT_CHLD_LBR_TIME_HC,Y10T14,_T,14.2
56,TJK,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,F,14.6
57,TJK,2005,PT_CHLD_LBR_TIME_HC,Y10T14,F,14.6
58,TJK,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,M,14.7
59,TJK,2005,PT_CHLD_LBR_TIME_ECON,Y10T14,_T,14.7
