,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
0,BOL,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,1.8
1,BOL,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,2.3
2,BOL,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,2.8
3,CAN,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,12.4
4,CAN,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,12.6
5,CAN,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.8
6,CHL,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,15.6
7,CHL,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18
8,CHL,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,20.4
9,DOM,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,10.1
10,DOM,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.3
11,DOM,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.7
12,ECU,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.5
13,ECU,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,24.1
14,ECU,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,9
15,GHA,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,25.8
16,GHA,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,29.1
17,GHA,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,32.5
18,IDN,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,19.1
19,IDN,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24
20,IDN,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,29.1
21,IND,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,26.7
22,IND,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,46.5
23,IND,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,9.9
24,KHM,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,12.8
25,KHM,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,5.9
26,KHM,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,9.4
27,PLW,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,17.6
28,PLW,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,19.3
29,PLW,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,20.8
30,PSE,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,16.5
31,PSE,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,23.1
32,PSE,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,30
33,TUR,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,18.6
34,TUR,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,32.8
35,TUR,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,48.2
36,URY,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,19.5
37,URY,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,21.3
38,URY,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,23.3
39,USA,2000,WT_ADLS_15-19_ED_NEET,Y15T19,F,10.2
40,USA,2000,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.7
41,USA,2000,WT_ADLS_15-19_ED_NEET,Y15T19,_T,9.4
