,REF_AREA,TIME_PERIOD,INDICATOR,AGE,OBS_VALUE
0,ABW,2000,DM_NET_MG_RATE,_T,13.964
1,AFG,2000,DM_NET_MG_RATE,_T,-50.229
2,AGO,2000,DM_NET_MG_RATE,_T,3.27
3,AIA,2000,DM_NET_MG_RATE,_T,23.291
4,ALB,2000,DM_NET_MG_RATE,_T,-19.799
5,AND,2000,DM_NET_MG_RATE,_T,2.211
6,ARE,2000,DM_NET_MG_RATE,_T,41.058
7,ARG,2000,DM_NET_MG_RATE,_T,-0.614
8,ARM,2000,DM_NET_MG_RATE,_T,-16.244
9,ASM,2000,DM_NET_MG_RATE,_T,-19.689
10,ATG,2000,DM_NET_MG_RATE,_T,3.614
11,AUS,2000,DM_NET_MG_RATE,_T,5.768
12,AUT,2000,DM_NET_MG_RATE,_T,2.191
13,AZE,2000,DM_NET_MG_RATE,_T,1.948
14,BDI,2000,DM_NET_MG_RATE,_T,-6.338
15,BEL,2000,DM_NET_MG_RATE,_T,3.148
16,BEN,2000,DM_NET_MG_RATE,_T,0.477
17,BES,2000,DM_NET_MG_RATE,_T,4.094
18,BFA,2000,DM_NET_MG_RATE,_T,0.327
19,BGD,2000,DM_NET_MG_RATE,_T,-3.282
20,BGR,2000,DM_NET_MG_RATE,_T,-1.394
21,BHR,2000,DM_NET_MG_RATE,_T,8.844
22,BHS,2000,DM_NET_MG_RATE,_T,2.597
23,BIH,2000,DM_NET_MG_RATE,_T,1.95
24,BLM,2000,DM_NET_MG_RATE,_T,21.126
25,BLR,2000,DM_NET_MG_RATE,_T,-1.015
26,BLZ,2000,DM_NET_MG_RATE,_T,7.003
27,BMU,2000,DM_NET_MG_RATE,_T,-1.091
28,BOL,2000,DM_NET_MG_RATE,_T,-2.055
29,BRA,2000,DM_NET_MG_RATE,_T,-0.01
30,BRB,2000,DM_NET_MG_RATE,_T,-3.144
31,BRN,2000,DM_NET_MG_RATE,_T,4.989
32,BTN,2000,DM_NET_MG_RATE,_T,10.391
33,BWA,2000,DM_NET_MG_RATE,_T,4.625
34,CAF,2000,DM_NET_MG_RATE,_T,2.152
