,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,ABW,2012,DM_BRTS,1.298
1,ABW,2012,DM_POP_TOT,102.1115
2,ABW,2012,DM_POP_15TO24,13.473
3,ABW,2012,DM_POP_ADLCNT_PROP,14.0297615841507
4,ABW,2012,DM_POP_ADLCNT,14.326
5,ABW,2012,DM_DPR_OLD,14.892
6,ABW,2012,DM_FRATE_TOT,2.0276
7,ABW,2012,DM_NET_MG_RATE,2.245
8,ABW,2012,DM_POP_U18,24.5215
9,ABW,2012,DM_DPR_CHD,28.253
10,ABW,2012,DM_POP_URBN,42.957
11,ABW,2012,DM_DPR_TOT,43.145
12,ABW,2012,DM_POP_U5,6.3115
13,ABW,2012,DM_LIFE_EXP,75.5308
14,AFG,2012,DM_BRTS,1217.396
15,AFG,2012,DM_POP_U18,16686.0485
16,AFG,2012,DM_POP_URBN,24.16
17,AFG,2012,DM_POP_ADLCNT_PROP,25.7213038257769
18,AFG,2012,DM_NET_MG_RATE,3.481
19,AFG,2012,DM_POP_TOT,30466.4785
20,AFG,2012,DM_DPR_OLD,4.767
21,AFG,2012,DM_FRATE_TOT,5.8302
22,AFG,2012,DM_POP_U5,5308.519
23,AFG,2012,DM_LIFE_EXP,61.923
24,AFG,2012,DM_POP_15TO24,6318.3825
25,AFG,2012,DM_POP_ADLCNT,7836.3755
26,AFG,2012,DM_DPR_CHD,94.533
27,AFG,2012,DM_DPR_TOT,99.3
28,AGO,2012,DM_BRTS,1102.911
29,AGO,2012,DM_POP_U18,13105.848
30,AGO,2012,DM_POP_ADLCNT_PROP,22.2426291897317
31,AGO,2012,DM_POP_TOT,25188.2925
32,AGO,2012,DM_NET_MG_RATE,3.82
33,AGO,2012,DM_POP_U5,4705.2155
34,AGO,2012,DM_POP_15TO24,4803.299
35,AGO,2012,DM_DPR_OLD,5.003
36,AGO,2012,DM_POP_ADLCNT,5602.5385
37,AGO,2012,DM_LIFE_EXP,58.6231
38,AGO,2012,DM_FRATE_TOT,6.0388
39,AGO,2012,DM_POP_URBN,61.268
40,AGO,2012,DM_DPR_CHD,88.542
41,AGO,2012,DM_DPR_TOT,93.544
42,AIA,2012,DM_BRTS,0.17
43,AIA,2012,DM_POP_U5,0.9895
44,AIA,2012,DM_NET_MG_RATE,1.637
45,AIA,2012,DM_FRATE_TOT,1.6684
46,AIA,2012,DM_POP_15TO24,1.838
47,AIA,2012,DM_DPR_OLD,10.691
48,AIA,2012,DM_POP_URBN,100
49,AIA,2012,DM_POP_TOT,13.455
50,AIA,2012,DM_POP_ADLCNT_PROP,15.0278706800446
51,AIA,2012,DM_POP_ADLCNT,2.022
52,AIA,2012,DM_POP_U18,3.676
53,AIA,2012,DM_DPR_CHD,32.944
54,AIA,2012,DM_DPR_TOT,43.635
55,AIA,2012,DM_LIFE_EXP,77.8034
56,ALB,2012,DM_NET_MG_RATE,-6.872
57,ALB,2012,DM_FRATE_TOT,1.6919
58,ALB,2012,DM_POP_U5,167.755
59,ALB,2012,DM_POP_ADLCNT_PROP,17.0017872251264
60,ALB,2012,DM_DPR_OLD,18.102
61,ALB,2012,DM_DPR_CHD,28.821
62,ALB,2012,DM_POP_TOT,2892.193
63,ALB,2012,DM_BRTS,35.489
64,ALB,2012,DM_DPR_TOT,46.923
65,ALB,2012,DM_POP_ADLCNT,491.7245
66,ALB,2012,DM_POP_15TO24,525.1715
67,ALB,2012,DM_POP_URBN,54.33
68,ALB,2012,DM_POP_U18,725.4955
69,ALB,2012,DM_LIFE_EXP,78.064
70,AND,2012,DM_NET_MG_RATE,0.465
71,AND,2012,DM_BRTS,0.753
72,AND,2012,DM_FRATE_TOT,1.302
73,AND,2012,DM_POP_ADLCNT_PROP,10.7565569442
74,AND,2012,DM_POP_U18,13.8255
75,AND,2012,DM_DPR_OLD,15.433
76,AND,2012,DM_DPR_CHD,22.666
77,AND,2012,DM_POP_U5,3.7845
78,AND,2012,DM_DPR_TOT,38.099
79,AND,2012,DM_POP_15TO24,7.3845
80,AND,2012,DM_POP_ADLCNT,7.6385
81,AND,2012,DM_POP_TOT,71.0125
82,AND,2012,DM_LIFE_EXP,82.9166
83,AND,2012,DM_POP_URBN,88.631
84,ARE,2012,DM_NET_MG_RATE,-1.891
85,ARE,2012,DM_DPR_OLD,0.388
86,ARE,2012,DM_FRATE_TOT,1.6664
87,ARE,2012,DM_POP_ADLCNT,1035.3285
88,ARE,2012,DM_POP_ADLCNT_PROP,11.9484379027531
89,ARE,2012,DM_BRTS,111.989
90,ARE,2012,DM_POP_U18,1569.596
91,ARE,2012,DM_DPR_CHD,16.695
92,ARE,2012,DM_DPR_TOT,17.083
93,ARE,2012,DM_POP_15TO24,1892.8835
94,ARE,2012,DM_POP_U5,505.827
95,ARE,2012,DM_LIFE_EXP,78.7155
96,ARE,2012,DM_POP_URBN,84.749
97,ARE,2012,DM_POP_TOT,8664.9695
98,ARG,2012,DM_NET_MG_RATE,0.075
99,ARG,2012,DM_POP_U18,12705.2115
100,ARG,2012,DM_POP_ADLCNT_PROP,16.7644005290285
101,ARG,2012,DM_DPR_OLD,16.788
102,ARG,2012,DM_FRATE_TOT,2.3304
103,ARG,2012,DM_POP_U5,3596.7
104,ARG,2012,DM_DPR_CHD,39.404
105,ARG,2012,DM_POP_TOT,41952.365
106,ARG,2012,DM_DPR_TOT,56.192
107,ARG,2012,DM_POP_15TO24,6953.153
108,ARG,2012,DM_POP_ADLCNT,7033.0625
109,ARG,2012,DM_BRTS,743.784
110,ARG,2012,DM_LIFE_EXP,76.4669
111,ARG,2012,DM_POP_URBN,91.121
112,ARM,2012,DM_NET_MG_RATE,-9.806
113,ARM,2012,DM_FRATE_TOT,1.6004
114,ARM,2012,DM_POP_ADLCNT_PROP,14.0940001461697
115,ARM,2012,DM_DPR_OLD,14.606
116,ARM,2012,DM_POP_U5,199.7145
117,ARM,2012,DM_DPR_CHD,27.052
118,ARM,2012,DM_POP_TOT,2914.421
119,ARM,2012,DM_DPR_TOT,41.659
120,ARM,2012,DM_POP_ADLCNT,410.7585
121,ARM,2012,DM_BRTS,44.225
122,ARM,2012,DM_POP_15TO24,527.0765
123,ARM,2012,DM_POP_URBN,63.24
124,ARM,2012,DM_POP_U18,684.165
125,ARM,2012,DM_LIFE_EXP,73.454
126,ASM,2012,DM_NET_MG_RATE,-28.246
127,ASM,2012,DM_BRTS,1.163
128,ASM,2012,DM_POP_15TO24,10.4025
129,ASM,2012,DM_POP_ADLCNT,11.483
130,ASM,2012,DM_POP_U18,21.29
131,ASM,2012,DM_POP_ADLCNT_PROP,21.3869979419462
132,ASM,2012,DM_FRATE_TOT,3.082
133,ASM,2012,DM_DPR_CHD,53.238
134,ASM,2012,DM_POP_TOT,53.6915
135,ASM,2012,DM_POP_U5,6.1065
136,ASM,2012,DM_DPR_OLD,6.934
137,ASM,2012,DM_DPR_TOT,60.173
138,ASM,2012,DM_LIFE_EXP,72.3202
139,ASM,2012,DM_POP_URBN,87.42
140,ATG,2012,DM_BRTS,1.182
141,ATG,2012,DM_FRATE_TOT,1.6554
142,ATG,2012,DM_DPR_OLD,10.594
143,ATG,2012,DM_POP_ADLCNT,14.3115
144,ATG,2012,DM_POP_15TO24,14.528
145,ATG,2012,DM_POP_ADLCNT_PROP,16.3235394757853
146,ATG,2012,DM_NET_MG_RATE,2.319
147,ATG,2012,DM_POP_U18,24.352
148,ATG,2012,DM_POP_URBN,25.526
149,ATG,2012,DM_DPR_CHD,32.39
150,ATG,2012,DM_DPR_TOT,42.984
151,ATG,2012,DM_POP_U5,6.5395
152,ATG,2012,DM_LIFE_EXP,77.3502
