,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,AFG,2012,HVA_PMTCT_ART_NUM,0
1,AFG,2012,HVA_PMTCT_ARV_NUM,0
2,AFG,2012,HVA_EPI_INF_RT_0-14,0.02
3,AFG,2012,HVA_EPI_INF_RT_10-19,0.02
4,AFG,2012,HVA_EPI_DTH_RT_10-19,0.05
5,AFG,2012,HVA_EPI_DTH_RT_0-14,0.34
6,AFG,2012,HVA_PED_ART_CVG,1.9
7,AFG,2012,HVA_PED_ART_NUM,10
8,AFG,2012,HVA_PED_LOST,1340000
9,AFG,2012,HVA_PED_LOST_AIDS,3100
10,AFG,2012,HVA_PMTCT_MTCT,48.52
11,AFG,2012,HVA_EPI_LHIV_15-24,690
12,AFG,2012,HVA_PMTCT_ART_CVG,<1
13,AFG,2012,HVA_PMTCT_ARV_CVG,<1
14,AFG,2012,HVA_EPI_DTH_ANN_0-19,<100
15,AFG,2012,HVA_EPI_DTH_ANN_15-24,<100
16,AFG,2012,HVA_EPI_INF_ANN_0-19,<200
17,AFG,2012,HVA_EPI_INF_ANN_15-24,<500
18,AFG,2012,HVA_EPI_LHIV_0-19,<500
19,AGO,2012,HVA_PMTCT_ART_NUM,0
20,AGO,2012,HVA_EPI_INF_RT_10-19,1.44
21,AGO,2012,HVA_EPI_INF_RT_0-14,1.77
22,AGO,2012,HVA_PED_EID_NUM,1000
23,AGO,2012,HVA_PMTCT_ARV_CVG,11.7
24,AGO,2012,HVA_EPI_INF_ANN_0-19,12000
25,AGO,2012,HVA_PED_LOST_AIDS,130000
26,AGO,2012,HVA_PED_LOST,1390000
27,AGO,2012,HVA_PED_ART_NUM,2300
28,AGO,2012,HVA_PED_EID_CVG,3.7
29,AGO,2012,HVA_PMTCT_MTCT,31.09
30,AGO,2012,HVA_PMTCT_ARV_NUM,3200
31,AGO,2012,HVA_EPI_LHIV_15-24,46000
32,AGO,2012,HVA_EPI_DTH_RT_0-14,47.68
33,AGO,2012,HVA_EPI_LHIV_0-19,47000
34,AGO,2012,HVA_EPI_DTH_ANN_0-19,5800
35,AGO,2012,HVA_PED_ART_CVG,6.6
36,AGO,2012,HVA_EPI_DTH_ANN_15-24,640
37,AGO,2012,HVA_EPI_DTH_RT_10-19,7.49
38,AGO,2012,HVA_EPI_INF_ANN_15-24,8900
39,AGO,2012,HVA_PMTCT_ART_CVG,<1
40,ALB,2012,HVA_PMTCT_ARV_NUM,0
41,ALB,2012,HVA_PED_LOST,33000
42,ALB,2012,HVA_EPI_DTH_ANN_15-24,<100
43,ALB,2012,HVA_EPI_INF_ANN_15-24,<100
44,ALB,2012,HVA_EPI_LHIV_15-24,<100
45,ALB,2012,HVA_PED_LOST_AIDS,<100
46,ARE,2012,HVA_PMTCT_ARV_NUM,0
47,ARE,2012,HVA_PED_LOST,5900
48,ARE,2012,HVA_EPI_DTH_ANN_15-24,<100
49,ARE,2012,HVA_EPI_INF_ANN_15-24,<100
50,ARE,2012,HVA_EPI_LHIV_15-24,<100
51,ARE,2012,HVA_PED_LOST_AIDS,<100
52,ARG,2012,HVA_EPI_INF_RT_0-14,0.03
53,ARG,2012,HVA_EPI_INF_RT_10-19,0.06
54,ARG,2012,HVA_EPI_DTH_RT_10-19,0.11
55,ARG,2012,HVA_EPI_DTH_RT_0-14,0.37
56,ARG,2012,HVA_PED_EID_CVG,10.5
57,ARG,2012,HVA_EPI_INF_ANN_15-24,1200
58,ARG,2012,HVA_PED_ART_NUM,1600
59,ARG,2012,HVA_PMTCT_ART_NUM,1700
60,ARG,2012,HVA_PMTCT_ARV_NUM,1700
61,ARG,2012,HVA_PED_EID_NUM,190
62,ARG,2012,HVA_EPI_LHIV_0-19,2300
63,ARG,2012,HVA_PED_LOST_AIDS,23000
64,ARG,2012,HVA_EPI_LHIV_15-24,4600
65,ARG,2012,HVA_PMTCT_MTCT,5.17
66,ARG,2012,HVA_PED_LOST,630000
67,ARG,2012,HVA_EPI_DTH_ANN_0-19,<100
68,ARG,2012,HVA_EPI_DTH_ANN_15-24,<100
69,ARG,2012,HVA_EPI_INF_ANN_0-19,<500
70,ARG,2012,HVA_PED_ART_CVG,>95
71,ARG,2012,HVA_PMTCT_ART_CVG,>95
72,ARG,2012,HVA_PMTCT_ARV_CVG,>95
73,ARM,2012,HVA_PMTCT_ART_NUM,0
74,ARM,2012,HVA_EPI_INF_RT_0-14,0.04
75,ARM,2012,HVA_EPI_INF_RT_10-19,0.04
76,ARM,2012,HVA_EPI_DTH_RT_0-14,1.17
77,ARM,2012,HVA_PED_ART_NUM,10
78,ARM,2012,HVA_PED_EID_NUM,10
79,ARM,2012,HVA_PMTCT_ARV_NUM,10
80,ARM,2012,HVA_PED_EID_CVG,14
81,ARM,2012,HVA_PMTCT_MTCT,19.32
82,ARM,2012,HVA_PMTCT_ARV_CVG,26
83,ARM,2012,HVA_PED_ART_CVG,36.1
84,ARM,2012,HVA_PED_LOST,40000
85,ARM,2012,HVA_PMTCT_ART_CVG,8
86,ARM,2012,HVA_PED_LOST_AIDS,890
87,ARM,2012,HVA_EPI_DTH_RT_10-19,<0.01
88,ARM,2012,HVA_EPI_DTH_ANN_0-19,<100
89,ARM,2012,HVA_EPI_DTH_ANN_15-24,<100
90,ARM,2012,HVA_EPI_INF_ANN_0-19,<100
91,ARM,2012,HVA_EPI_INF_ANN_15-24,<100
92,ARM,2012,HVA_EPI_LHIV_0-19,<100
93,ARM,2012,HVA_EPI_LHIV_15-24,<500
94,AUS,2012,HVA_PED_LOST,140000
95,AUS,2012,HVA_PED_LOST_AIDS,4000
96,AUS,2012,HVA_EPI_DTH_ANN_15-24,<100
97,AUS,2012,HVA_EPI_INF_ANN_15-24,<100
98,AUS,2012,HVA_EPI_LHIV_15-24,<500
99,AZE,2012,HVA_PMTCT_ART_NUM,0
100,AZE,2012,HVA_EPI_INF_RT_0-14,0.03
101,AZE,2012,HVA_EPI_INF_RT_10-19,0.03
102,AZE,2012,HVA_EPI_DTH_RT_10-19,0.13
103,AZE,2012,HVA_EPI_DTH_RT_0-14,0.88
104,AZE,2012,HVA_PED_LOST,130000
105,AZE,2012,HVA_PMTCT_ARV_NUM,20
106,AZE,2012,HVA_PED_ART_CVG,20.3
107,AZE,2012,HVA_PED_LOST_AIDS,2400
108,AZE,2012,HVA_PMTCT_ARV_CVG,28
109,AZE,2012,HVA_PMTCT_MTCT,28.64
110,AZE,2012,HVA_PED_ART_NUM,30
111,AZE,2012,HVA_PED_EID_NUM,40
112,AZE,2012,HVA_PED_EID_CVG,46.3
113,AZE,2012,HVA_EPI_LHIV_15-24,550
114,AZE,2012,HVA_PMTCT_ART_CVG,<1
115,AZE,2012,HVA_EPI_DTH_ANN_0-19,<100
116,AZE,2012,HVA_EPI_DTH_ANN_15-24,<100
117,AZE,2012,HVA_EPI_INF_ANN_0-19,<100
118,AZE,2012,HVA_EPI_INF_ANN_15-24,<200
119,AZE,2012,HVA_EPI_LHIV_0-19,<500
120,BDI,2012,HVA_EPI_INF_RT_10-19,0.28
121,BDI,2012,HVA_EPI_INF_RT_0-14,0.97
122,BDI,2012,HVA_PMTCT_ART_NUM,1000
123,BDI,2012,HVA_PED_ART_CVG,11.5
124,BDI,2012,HVA_PED_LOST_AIDS,120000
125,BDI,2012,HVA_PMTCT_ART_CVG,15.7
126,BDI,2012,HVA_EPI_LHIV_15-24,16000
127,BDI,2012,HVA_EPI_DTH_ANN_0-19,1700
128,BDI,2012,HVA_EPI_INF_ANN_0-19,2000
129,BDI,2012,HVA_PED_ART_NUM,2000
130,BDI,2012,HVA_PMTCT_MTCT,25.69
131,BDI,2012,HVA_EPI_LHIV_0-19,25000
132,BDI,2012,HVA_EPI_DTH_RT_10-19,27.24
133,BDI,2012,HVA_PMTCT_ARV_NUM,2700
134,BDI,2012,HVA_EPI_DTH_RT_0-14,33.41
135,BDI,2012,HVA_PMTCT_ARV_CVG,41.9
136,BDI,2012,HVA_PED_LOST,520000
137,BDI,2012,HVA_PED_EID_NUM,550
138,BDI,2012,HVA_PED_EID_CVG,8.4
139,BDI,2012,HVA_EPI_INF_ANN_15-24,840
140,BDI,2012,HVA_EPI_DTH_ANN_15-24,<500
141,BEN,2012,HVA_EPI_INF_RT_10-19,0.39
142,BEN,2012,HVA_EPI_INF_RT_0-14,1.17
143,BEN,2012,HVA_EPI_INF_ANN_15-24,1000
144,BEN,2012,HVA_EPI_DTH_RT_10-19,11.16
145,BEN,2012,HVA_PMTCT_ART_NUM,1300
146,BEN,2012,HVA_PMTCT_ARV_NUM,1300
147,BEN,2012,HVA_PED_ART_CVG,15
148,BEN,2012,HVA_EPI_DTH_ANN_0-19,1500
149,BEN,2012,HVA_EPI_LHIV_0-19,16000
150,BEN,2012,HVA_PMTCT_ART_CVG,18.8
151,BEN,2012,HVA_PMTCT_ARV_CVG,18.8
152,BEN,2012,HVA_PED_ART_NUM,1900
153,BEN,2012,HVA_EPI_INF_ANN_0-19,2300
154,BEN,2012,HVA_PMTCT_MTCT,27.76
155,BEN,2012,HVA_EPI_DTH_RT_0-14,33.33
156,BEN,2012,HVA_PED_LOST,390000
157,BEN,2012,HVA_PED_EID_NUM,430
158,BEN,2012,HVA_PED_LOST_AIDS,45000
159,BEN,2012,HVA_PED_EID_CVG,6.4
160,BEN,2012,HVA_EPI_LHIV_15-24,9100
161,BEN,2012,HVA_EPI_DTH_ANN_15-24,<200
162,BFA,2012,HVA_EPI_INF_RT_10-19,0.19
163,BFA,2012,HVA_EPI_INF_RT_0-14,1.28
164,BFA,2012,HVA_PED_EID_NUM,1100
165,BFA,2012,HVA_PED_LOST_AIDS,120000
166,BFA,2012,HVA_PED_ART_NUM,1700
167,BFA,2012,HVA_EPI_LHIV_15-24,21000
168,BFA,2012,HVA_EPI_DTH_RT_10-19,24.88
169,BFA,2012,HVA_PMTCT_ARV_CVG,25.2
170,BFA,2012,HVA_PMTCT_MTCT,29.44
171,BFA,2012,HVA_PMTCT_ARV_NUM,3200
172,BFA,2012,HVA_EPI_DTH_ANN_0-19,3500
173,BFA,2012,HVA_EPI_DTH_RT_0-14,40.46
174,BFA,2012,HVA_EPI_INF_ANN_0-19,4100
175,BFA,2012,HVA_EPI_LHIV_0-19,42000
176,BFA,2012,HVA_PMTCT_ART_CVG,5.2
177,BFA,2012,HVA_PED_ART_CVG,5.5
178,BFA,2012,HVA_PMTCT_ART_NUM,670
179,BFA,2012,HVA_EPI_DTH_ANN_15-24,700
180,BFA,2012,HVA_PED_LOST,740000
181,BFA,2012,HVA_EPI_INF_ANN_15-24,760
182,BFA,2012,HVA_PED_EID_CVG,8.6
183,BGD,2012,HVA_PMTCT_ARV_NUM,20
184,BGD,2012,HVA_PED_ART_NUM,50
185,BGR,2012,HVA_PMTCT_ARV_NUM,20
186,BHR,2012,HVA_PMTCT_ARV_NUM,0
187,BHS,2012,HVA_PMTCT_ARV_NUM,90
188,BHS,2012,HVA_EPI_INF_ANN_15-24,<100
189,BHS,2012,HVA_EPI_LHIV_15-24,<500
190,BIH,2012,HVA_PMTCT_ARV_NUM,0
191,BLR,2012,HVA_PED_LOST_AIDS,1000
192,BLR,2012,HVA_EPI_LHIV_15-24,1300
193,BLR,2012,HVA_PED_LOST,170000
194,BLR,2012,HVA_PMTCT_ARV_NUM,200
195,BLR,2012,HVA_EPI_DTH_ANN_15-24,<100
196,BLR,2012,HVA_EPI_INF_ANN_15-24,<500
197,BLZ,2012,HVA_PED_LOST_AIDS,1600
198,BLZ,2012,HVA_PMTCT_ARV_NUM,70
199,BLZ,2012,HVA_PED_LOST,8300
200,BLZ,2012,HVA_EPI_DTH_ANN_15-24,<100
201,BLZ,2012,HVA_EPI_INF_ANN_15-24,<100
202,BLZ,2012,HVA_EPI_LHIV_15-24,<200
203,BOL,2012,HVA_EPI_INF_RT_10-19,0.04
204,BOL,2012,HVA_EPI_INF_RT_0-14,0.05
205,BOL,2012,HVA_EPI_DTH_RT_10-19,0.68
206,BOL,2012,HVA_EPI_DTH_RT_0-14,1.71
207,BOL,2012,HVA_PED_ART_CVG,13.1
208,BOL,2012,HVA_PMTCT_ART_NUM,150
209,BOL,2012,HVA_PMTCT_MTCT,20.8
210,BOL,2012,HVA_PMTCT_ARV_NUM,250
211,BOL,2012,HVA_PED_LOST,290000
212,BOL,2012,HVA_PMTCT_ART_CVG,47
213,BOL,2012,HVA_EPI_LHIV_15-24,720
214,BOL,2012,HVA_PED_LOST_AIDS,7300
215,BOL,2012,HVA_PMTCT_ARV_CVG,79
216,BOL,2012,HVA_EPI_LHIV_0-19,830
217,BOL,2012,HVA_PED_ART_NUM,90
218,BOL,2012,HVA_EPI_DTH_ANN_0-19,<100
219,BOL,2012,HVA_EPI_DTH_ANN_15-24,<100
220,BOL,2012,HVA_EPI_INF_ANN_0-19,<200
221,BOL,2012,HVA_EPI_INF_ANN_15-24,<200
222,BRA,2012,HVA_PMTCT_ARV_NUM,8000
223,BRB,2012,HVA_PMTCT_ARV_NUM,20
224,BTN,2012,HVA_PMTCT_ARV_NUM,10
225,BTN,2012,HVA_PED_LOST,21000
226,BTN,2012,HVA_PED_LOST_AIDS,640
227,BTN,2012,HVA_EPI_DTH_ANN_15-24,<100
228,BTN,2012,HVA_EPI_INF_ANN_15-24,<100
229,BTN,2012,HVA_EPI_LHIV_15-24,<100
