,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,ABW,2012,DM_NET_MG_RATE,2.245
1,AFG,2012,DM_NET_MG_RATE,3.481
2,AGO,2012,DM_NET_MG_RATE,3.82
3,AIA,2012,DM_NET_MG_RATE,1.637
4,ALB,2012,DM_NET_MG_RATE,-6.872
5,AND,2012,DM_NET_MG_RATE,0.465
6,ARE,2012,DM_NET_MG_RATE,-1.891
7,ARG,2012,DM_NET_MG_RATE,0.075
8,ARM,2012,DM_NET_MG_RATE,-9.806
9,ASM,2012,DM_NET_MG_RATE,-28.246
10,ATG,2012,DM_NET_MG_RATE,2.319
11,AUS,2012,DM_NET_MG_RATE,10.423
12,AUT,2012,DM_NET_MG_RATE,5.339
13,AZE,2012,DM_NET_MG_RATE,0.21
14,BDI,2012,DM_NET_MG_RATE,2.311
15,BEL,2012,DM_NET_MG_RATE,5.11
16,BEN,2012,DM_NET_MG_RATE,0.126
17,BES,2012,DM_NET_MG_RATE,22.831
18,BFA,2012,DM_NET_MG_RATE,-1.224
19,BGD,2012,DM_NET_MG_RATE,-1.59
20,BGR,2012,DM_NET_MG_RATE,-1.837
21,BHR,2012,DM_NET_MG_RATE,9.638
22,BHS,2012,DM_NET_MG_RATE,2.747
23,BIH,2012,DM_NET_MG_RATE,-17.921
24,BLM,2012,DM_NET_MG_RATE,8.726
25,BLR,2012,DM_NET_MG_RATE,0.973
26,BLZ,2012,DM_NET_MG_RATE,4.546
27,BMU,2012,DM_NET_MG_RATE,-3.817
28,BOL,2012,DM_NET_MG_RATE,-1.105
29,BRA,2012,DM_NET_MG_RATE,0.217
30,BRB,2012,DM_NET_MG_RATE,-0.232
31,BRN,2012,DM_NET_MG_RATE,-0.841
32,BTN,2012,DM_NET_MG_RATE,-1.005
33,BWA,2012,DM_NET_MG_RATE,0.224
34,CAF,2012,DM_NET_MG_RATE,-23.196
35,CAN,2012,DM_NET_MG_RATE,7.096
36,CHE,2012,DM_NET_MG_RATE,8.472
37,CHL,2012,DM_NET_MG_RATE,1.785
38,CHN,2012,DM_NET_MG_RATE,-0.091
39,CIV,2012,DM_NET_MG_RATE,-6.528
40,CMR,2012,DM_NET_MG_RATE,-0.358
41,COD,2012,DM_NET_MG_RATE,-0.356
42,COG,2012,DM_NET_MG_RATE,-5.635
43,COK,2012,DM_NET_MG_RATE,-15.817
44,COL,2012,DM_NET_MG_RATE,-1.221
45,COM,2012,DM_NET_MG_RATE,-2.873
46,CPV,2012,DM_NET_MG_RATE,-3.041
47,CRI,2012,DM_NET_MG_RATE,0.841
48,CUB,2012,DM_NET_MG_RATE,-1.549
49,CUW,2012,DM_NET_MG_RATE,9.004
50,CYM,2012,DM_NET_MG_RATE,15.907
51,CYP,2012,DM_NET_MG_RATE,4.149
52,CZE,2012,DM_NET_MG_RATE,0.981
53,DEU,2012,DM_NET_MG_RATE,3.896
54,DJI,2012,DM_NET_MG_RATE,2.207
55,DMA,2012,DM_NET_MG_RATE,2.296
56,DNK,2012,DM_NET_MG_RATE,3.53
57,DOM,2012,DM_NET_MG_RATE,-3.047
58,DZA,2012,DM_NET_MG_RATE,-0.942
59,ECU,2012,DM_NET_MG_RATE,-0.506
60,EGY,2012,DM_NET_MG_RATE,-0.023
61,ERI,2012,DM_NET_MG_RATE,-13.235
62,ESP,2012,DM_NET_MG_RATE,-3.089
63,EST,2012,DM_NET_MG_RATE,-2.753
64,ETH,2012,DM_NET_MG_RATE,1.266
65,FIN,2012,DM_NET_MG_RATE,3.26
66,FJI,2012,DM_NET_MG_RATE,-11.942
67,FLK,2012,DM_NET_MG_RATE,10.372
68,FRA,2012,DM_NET_MG_RATE,0.778
69,FRO,2012,DM_NET_MG_RATE,-3.073
70,FSM,2012,DM_NET_MG_RATE,-14.975
71,GAB,2012,DM_NET_MG_RATE,10.931
72,GBR,2012,DM_NET_MG_RATE,4.281
73,GEO,2012,DM_NET_MG_RATE,-6.944
74,GHA,2012,DM_NET_MG_RATE,0.038
75,GIB,2012,DM_NET_MG_RATE,9.308
76,GIN,2012,DM_NET_MG_RATE,-3.039
77,GLP,2012,DM_NET_MG_RATE,-7.317
78,GMB,2012,DM_NET_MG_RATE,-1.135
79,GNB,2012,DM_NET_MG_RATE,-0.872
80,GNQ,2012,DM_NET_MG_RATE,15.072
81,GRC,2012,DM_NET_MG_RATE,-2.736
82,GRD,2012,DM_NET_MG_RATE,-1.758
83,GRL,2012,DM_NET_MG_RATE,-8.1
84,GTM,2012,DM_NET_MG_RATE,-2.151
85,GUF,2012,DM_NET_MG_RATE,1.785
86,GUM,2012,DM_NET_MG_RATE,-11.05
87,GUY,2012,DM_NET_MG_RATE,-9.568
88,HKG,2012,DM_NET_MG_RATE,5.012
89,HND,2012,DM_NET_MG_RATE,-0.67
90,HRV,2012,DM_NET_MG_RATE,-2.407
91,HTI,2012,DM_NET_MG_RATE,-2.932
92,HUN,2012,DM_NET_MG_RATE,1.619
93,IDN,2012,DM_NET_MG_RATE,-0.154
94,IMN,2012,DM_NET_MG_RATE,-2.89
95,IND,2012,DM_NET_MG_RATE,-0.142
96,IRL,2012,DM_NET_MG_RATE,-4.809
97,IRN,2012,DM_NET_MG_RATE,0.254
98,IRQ,2012,DM_NET_MG_RATE,22.918
99,ISL,2012,DM_NET_MG_RATE,-0.947
100,ISR,2012,DM_NET_MG_RATE,1.306
101,ITA,2012,DM_NET_MG_RATE,4.146
102,JAM,2012,DM_NET_MG_RATE,-4.156
103,JOR,2012,DM_NET_MG_RATE,-20.067
104,JPN,2012,DM_NET_MG_RATE,1.075
105,KAZ,2012,DM_NET_MG_RATE,0.529
106,KEN,2012,DM_NET_MG_RATE,-0.981
107,KGZ,2012,DM_NET_MG_RATE,-7.344
108,KHM,2012,DM_NET_MG_RATE,-2.971
109,KIR,2012,DM_NET_MG_RATE,-8.466
110,KNA,2012,DM_NET_MG_RATE,-3.994
111,KOR,2012,DM_NET_MG_RATE,5.567
112,KWT,2012,DM_NET_MG_RATE,57.935
113,LAO,2012,DM_NET_MG_RATE,-4.055
114,LBN,2012,DM_NET_MG_RATE,24.318
115,LBR,2012,DM_NET_MG_RATE,-5.916
116,LBY,2012,DM_NET_MG_RATE,0.889
117,LCA,2012,DM_NET_MG_RATE,0.064
118,LIE,2012,DM_NET_MG_RATE,5.139
119,LKA,2012,DM_NET_MG_RATE,-4.609
120,LSO,2012,DM_NET_MG_RATE,-3.317
121,LTU,2012,DM_NET_MG_RATE,-8.019
122,LUX,2012,DM_NET_MG_RATE,19.508
123,LVA,2012,DM_NET_MG_RATE,-6.299
124,MAC,2012,DM_NET_MG_RATE,10.616
125,MAF,2012,DM_NET_MG_RATE,-26.322
126,MAR,2012,DM_NET_MG_RATE,-1.951
127,MCO,2012,DM_NET_MG_RATE,27.903
128,MDA,2012,DM_NET_MG_RATE,-25.622
129,MDG,2012,DM_NET_MG_RATE,0.021
130,MDV,2012,DM_NET_MG_RATE,17.33
131,MEX,2012,DM_NET_MG_RATE,-0.416
132,MHL,2012,DM_NET_MG_RATE,-35.781
133,MKD,2012,DM_NET_MG_RATE,-0.837
134,MLI,2012,DM_NET_MG_RATE,-8.484
135,MLT,2012,DM_NET_MG_RATE,14.45
136,MMR,2012,DM_NET_MG_RATE,-1.225
137,MNE,2012,DM_NET_MG_RATE,-1.001
138,MNG,2012,DM_NET_MG_RATE,-0.771
139,MNP,2012,DM_NET_MG_RATE,-17.309
140,MOZ,2012,DM_NET_MG_RATE,0.424
141,MRT,2012,DM_NET_MG_RATE,3.879
142,MSR,2012,DM_NET_MG_RATE,11.515
143,MTQ,2012,DM_NET_MG_RATE,-11.096
144,MUS,2012,DM_NET_MG_RATE,-2.578
145,MWI,2012,DM_NET_MG_RATE,-0.866
146,MYS,2012,DM_NET_MG_RATE,3.831
147,MYT,2012,DM_NET_MG_RATE,-0.965
148,NAM,2012,DM_NET_MG_RATE,-3.957
149,NCL,2012,DM_NET_MG_RATE,6.631
150,NER,2012,DM_NET_MG_RATE,1.042
151,NGA,2012,DM_NET_MG_RATE,0.245
152,NIC,2012,DM_NET_MG_RATE,-4.531
153,NIU,2012,DM_NET_MG_RATE,2.209
154,NLD,2012,DM_NET_MG_RATE,2.8
155,NOR,2012,DM_NET_MG_RATE,9.567
156,NPL,2012,DM_NET_MG_RATE,-13.508
157,NRU,2012,DM_NET_MG_RATE,-3.06
158,NZL,2012,DM_NET_MG_RATE,-0.349
159,OMN,2012,DM_NET_MG_RATE,76.953
160,PAK,2012,DM_NET_MG_RATE,-8.116
161,PAN,2012,DM_NET_MG_RATE,1.452
162,PER,2012,DM_NET_MG_RATE,-3.984
163,PHL,2012,DM_NET_MG_RATE,-1.591
164,PLW,2012,DM_NET_MG_RATE,-18.709
165,PNG,2012,DM_NET_MG_RATE,4.732
166,POL,2012,DM_NET_MG_RATE,-0.313
167,PRI,2012,DM_NET_MG_RATE,-12.238
168,PRK,2012,DM_NET_MG_RATE,-0.117
169,PRT,2012,DM_NET_MG_RATE,-3.553
170,PRY,2012,DM_NET_MG_RATE,-2.994
171,PSE,2012,DM_NET_MG_RATE,-6.412
172,PYF,2012,DM_NET_MG_RATE,-9.167
173,QAT,2012,DM_NET_MG_RATE,44.777
174,REU,2012,DM_NET_MG_RATE,-7.521
175,ROU,2012,DM_NET_MG_RATE,-1.066
176,RUS,2012,DM_NET_MG_RATE,2.118
177,RWA,2012,DM_NET_MG_RATE,-1.366
178,SAU,2012,DM_NET_MG_RATE,2.888
179,SDN,2012,DM_NET_MG_RATE,-6.28
180,SEN,2012,DM_NET_MG_RATE,-3.242
