,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,AFG,2012,MNCH_INSTDEL,35.8
1,AFG,2012,MNCH_ADO_INSUFF_PHYS,87.70248
2,ALB,2012,MNCH_ADO_INSUFF_PHYS,74.4788
3,ARE,2012,MNCH_ADO_INSUFF_PHYS,81.98383
4,ARG,2012,MNCH_ORS,17.5
5,ARG,2012,MNCH_ORTCF,59.1
6,ARG,2012,MNCH_ADO_INSUFF_PHYS,84.94141
7,ARG,2012,MNCH_PNEUCARE,94.3
8,ARG,2012,MNCH_INSTDEL,99
9,ARM,2012,MNCH_ADO_INSUFF_PHYS,78.14172
10,ATG,2012,MNCH_ADO_INSUFF_PHYS,79.86308
11,AUS,2012,MNCH_ADO_INSUFF_PHYS,88.50773
12,AUT,2012,MNCH_ADO_INSUFF_PHYS,78.18196
13,AUT,2012,MNCH_INSTDEL,98.5
14,BDI,2012,MNCH_MLRDIAG,28.3
15,BDI,2012,MNCH_ITN2,28.6
16,BDI,2012,MNCH_ORTCF,28.8
17,BDI,2012,MNCH_ORS,47.2
18,BDI,2012,MNCH_ITN,53.8
19,BDI,2012,MNCH_PNEUCARE,54.1
20,BDI,2012,MNCH_MLRCARE,58.5
21,BDI,2012,MNCH_ITN,60.6
22,BDI,2012,MNCH_ITNOWN,63
23,BDI,2012,MNCH_MLRACT,68.9
24,BDI,2012,MNCH_INSTDEL,78.2
25,BEL,2012,MNCH_ADO_INSUFF_PHYS,83.51097
26,BEN,2012,MNCH_MLRDIAG,17.3
27,BEN,2012,MNCH_DEMAND_FP,22.4
28,BEN,2012,MNCH_PNCNB,27.9
29,BEN,2012,MNCH_PNEUCARE,31
30,BEN,2012,MNCH_MLRACT,32
31,BEN,2012,MNCH_DIARCARE,36.6
32,BEN,2012,MNCH_MLRCARE,42.9
33,BEN,2012,MNCH_ITN2,45.7
34,BEN,2012,MNCH_ORTCF,48.8
35,BEN,2012,MNCH_CSEC,5.4
36,BEN,2012,MNCH_ORS,50.1
37,BEN,2012,MNCH_ITN,69.7
38,BEN,2012,MNCH_ADO_INSUFF_PHYS,77.11994
39,BEN,2012,MNCH_ITNOWN,79.8
40,BEN,2012,MNCH_ORSZINC,8.7
41,BEN,2012,MNCH_INSTDEL,86.9
42,BEN,2012,MNCH_ZINC,9.6
43,BGD,2012,MNCH_ADO_INSUFF_PHYS,67.69441
44,BGR,2012,MNCH_ADO_INSUFF_PHYS,73.97683
45,BHR,2012,MNCH_ADO_INSUFF_PHYS,81.21072
46,BHS,2012,MNCH_ADO_INSUFF_PHYS,84.4844
47,BIH,2012,MNCH_CSEC,13.9
48,BIH,2012,MNCH_DEMAND_FP,21.9
49,BIH,2012,MNCH_ORS,36.3
50,BIH,2012,MNCH_DIARCARE,4.6
51,BIH,2012,MNCH_ORTCF,54.6
52,BIH,2012,MNCH_PNEUCARE,87
53,BIH,2012,MNCH_INSTDEL,99.7
54,BLR,2012,MNCH_PNCNB,100
55,BLR,2012,MNCH_CSEC,25.3
56,BLR,2012,MNCH_ORS,45.3
57,BLR,2012,MNCH_ORTCF,61.2
58,BLR,2012,MNCH_DEMAND_FP,73
59,BLR,2012,MNCH_DIARCARE,9.2
60,BLR,2012,MNCH_PNEUCARE,93.4
61,BLR,2012,MNCH_INSTDEL,99.9
62,BLZ,2012,MNCH_ADO_INSUFF_PHYS,80.73572
63,BOL,2012,MNCH_ORS,22.3
64,BOL,2012,MNCH_CSEC,26
65,BOL,2012,MNCH_CSEC,26.7
66,BOL,2012,MNCH_ORSZINC,60.2
67,BOL,2012,MNCH_PNEUCARE,71.2
68,BOL,2012,MNCH_INSTDEL,81.2
69,BOL,2012,MNCH_INSTDEL,82.1
70,BOL,2012,MNCH_ADO_INSUFF_PHYS,85.43668
71,BRA,2012,MNCH_CSEC,55.6
72,BRA,2012,MNCH_CSEC,55.8
73,BRA,2012,MNCH_ADO_INSUFF_PHYS,83.85263
74,BRA,2012,MNCH_INSTDEL,99
75,BRB,2012,MNCH_INSTDEL,100
76,BRB,2012,MNCH_CSEC,21.3
77,BRB,2012,MNCH_DEMAND_FP,69.9
78,BRB,2012,MNCH_ADO_INSUFF_PHYS,82.18816
79,BRB,2012,MNCH_PNCNB,98.4
80,BRN,2012,MNCH_ADO_INSUFF_PHYS,87.23274
81,BRN,2012,MNCH_INSTDEL,99.8
82,BTN,2012,MNCH_INSTDEL,73.8
83,BTN,2012,MNCH_ADO_INSUFF_PHYS,83.92818
84,BWA,2012,MNCH_ITN,30.9
85,BWA,2012,MNCH_ITNOWN,52.9
86,BWA,2012,MNCH_ADO_INSUFF_PHYS,87.43002
87,BWA,2012,MNCH_INSTDEL,99.8
88,CAN,2012,MNCH_ADO_INSUFF_PHYS,76.80235
89,CHE,2012,MNCH_ADO_INSUFF_PHYS,85.42252
90,CHL,2012,MNCH_CSEC,49.6
91,CHL,2012,MNCH_ADO_INSUFF_PHYS,87.52871
92,CHL,2012,MNCH_INSTDEL,99.8
93,CHN,2012,MNCH_ADO_INSUFF_PHYS,84.57503
94,CHN,2012,MNCH_INSTDEL,99.2
95,CIV,2012,MNCH_ORSZINC,0.1
96,CIV,2012,MNCH_ZINC,0.1
97,CIV,2012,MNCH_MLRDIAG,11
98,CIV,2012,MNCH_ORS,17.2
99,CIV,2012,MNCH_CSEC,2.7
100,CIV,2012,MNCH_DIARCARE,27.2
101,CIV,2012,MNCH_ITN2,31
102,CIV,2012,MNCH_DEMAND_FP,32.2
103,CIV,2012,MNCH_PNCNB,33.7
104,CIV,2012,MNCH_ORTCF,36.3
105,CIV,2012,MNCH_ITN,37.2
106,CIV,2012,MNCH_PNEUCARE,38.2
107,CIV,2012,MNCH_MLRCARE,42.8
108,CIV,2012,MNCH_INSTDEL,57.4
109,CIV,2012,MNCH_ITNOWN,67.3
110,COG,2012,MNCH_MLRACT,16.7
111,COG,2012,MNCH_ITN,26.3
112,COG,2012,MNCH_ITNOWN,26.6
113,COG,2012,MNCH_ORS,28
114,COG,2012,MNCH_PNCNB,28.1
115,COG,2012,MNCH_MLRDIAG,28.8
116,COG,2012,MNCH_DIARCARE,36.6
117,COG,2012,MNCH_DEMAND_FP,38
118,COG,2012,MNCH_ORTCF,48.4
119,COG,2012,MNCH_CSEC,5.8
120,COG,2012,MNCH_PNEUCARE,52.1
121,COG,2012,MNCH_MLRCARE,54.1
122,COG,2012,MNCH_INSTDEL,91.5
123,COK,2012,MNCH_ADO_INSUFF_PHYS,83.09549
124,COL,2012,MNCH_CSEC,43.8
125,COL,2012,MNCH_ADO_INSUFF_PHYS,84.02175
126,COL,2012,MNCH_INSTDEL,99.1
127,COM,2012,MNCH_ORSZINC,0.2
128,COM,2012,MNCH_ZINC,0.4
129,COM,2012,MNCH_PNCNB,13.6
130,COM,2012,MNCH_MLRACT,16
131,COM,2012,MNCH_ITN2,26.4
132,COM,2012,MNCH_MLRDIAG,28
133,COM,2012,MNCH_DEMAND_FP,28.8
134,COM,2012,MNCH_ORS,37.5
135,COM,2012,MNCH_PNEUCARE,38.1
136,COM,2012,MNCH_DIARCARE,39.5
137,COM,2012,MNCH_ITN,41.1
138,COM,2012,MNCH_MLRCARE,44.6
139,COM,2012,MNCH_ORTCF,53.9
140,COM,2012,MNCH_ITNOWN,59.1
141,COM,2012,MNCH_INSTDEL,76.1
142,COM,2012,MNCH_CSEC,9.6
143,CRI,2012,MNCH_ADO_INSUFF_PHYS,82.38632
144,CUB,2012,MNCH_INSTDEL,99.9
145,CYP,2012,MNCH_INSTDEL,98.7
146,CZE,2012,MNCH_ADO_INSUFF_PHYS,77.59374
147,CZE,2012,MNCH_INSTDEL,99.9
148,DEU,2012,MNCH_ADO_INSUFF_PHYS,83.64111
149,DEU,2012,MNCH_INSTDEL,98.5
150,DJI,2012,MNCH_CSEC,11
151,DJI,2012,MNCH_ITNOWN,32
152,DJI,2012,MNCH_DIARCARE,66.6
153,DJI,2012,MNCH_ADO_INSUFF_PHYS,85.47747
154,DJI,2012,MNCH_INSTDEL,86.7
155,DJI,2012,MNCH_ORS,93.6
156,DJI,2012,MNCH_PNEUCARE,94.4
157,DMA,2012,MNCH_ADO_INSUFF_PHYS,84.09566
158,DNK,2012,MNCH_ADO_INSUFF_PHYS,84.17527
159,DZA,2012,MNCH_ADO_INSUFF_PHYS,83.9821
160,ECU,2012,MNCH_CSEC,41.2
161,ECU,2012,MNCH_ORS,45.8
162,ECU,2012,MNCH_DEMAND_FP,79.4
163,ECU,2012,MNCH_ADO_INSUFF_PHYS,86.45644
164,ECU,2012,MNCH_INSTDEL,92.3
165,EGY,2012,MNCH_ADO_INSUFF_PHYS,87.41788
166,ESP,2012,MNCH_ADO_INSUFF_PHYS,77.30477
167,EST,2012,MNCH_ADO_INSUFF_PHYS,83.80628
168,EST,2012,MNCH_INSTDEL,99.3
169,FIN,2012,MNCH_ADO_INSUFF_PHYS,76.22591
170,FIN,2012,MNCH_INSTDEL,99.8
171,FJI,2012,MNCH_ADO_INSUFF_PHYS,83.52455
172,FRA,2012,MNCH_ADO_INSUFF_PHYS,86.77602
173,FRA,2012,MNCH_INSTDEL,97.1
174,GAB,2012,MNCH_CSEC,10
175,GAB,2012,MNCH_ITN2,17.9
176,GAB,2012,MNCH_PNCNB,25.3
177,GAB,2012,MNCH_ORS,26.1
178,GAB,2012,MNCH_MLRACT,34
179,GAB,2012,MNCH_ITNOWN,36.1
180,GAB,2012,MNCH_ITN,38.8
181,GAB,2012,MNCH_DEMAND_FP,44
182,GAB,2012,MNCH_DIARCARE,49.7
183,GAB,2012,MNCH_ORTCF,51.9
184,GAB,2012,MNCH_MLRCARE,67.2
185,GAB,2012,MNCH_PNEUCARE,67.7
186,GAB,2012,MNCH_INSTDEL,90.2
187,GBR,2012,MNCH_ADO_INSUFF_PHYS,80.105
188,GBR,2012,MNCH_DEMAND_FP,86.5
189,GHA,2012,MNCH_ADO_INSUFF_PHYS,87.36787
190,GIN,2012,MNCH_ORSZINC,0.3
191,GIN,2012,MNCH_ZINC,0.5
192,GIN,2012,MNCH_CSEC,2.4
193,GIN,2012,MNCH_DEMAND_FP,24.6
194,GIN,2012,MNCH_PNCNB,25.1
195,GIN,2012,MNCH_ITN,26
196,GIN,2012,MNCH_ORS,34.3
197,GIN,2012,MNCH_MLRCARE,37.1
198,GIN,2012,MNCH_PNEUCARE,37.3
199,GIN,2012,MNCH_DIARCARE,37.7
200,GIN,2012,MNCH_ORTCF,39.9
201,GIN,2012,MNCH_MLRACT,4.8
202,GIN,2012,MNCH_INSTDEL,40.3
203,GIN,2012,MNCH_ITNOWN,47.4
204,GIN,2012,MNCH_MLRDIAG,8.5
205,GRC,2012,MNCH_ADO_INSUFF_PHYS,84.26018
206,GRD,2012,MNCH_ADO_INSUFF_PHYS,84.36464
207,GTM,2012,MNCH_ADO_INSUFF_PHYS,86.72892
208,GUY,2012,MNCH_ADO_INSUFF_PHYS,84.06906
209,HND,2012,MNCH_ORSZINC,0.2
210,HND,2012,MNCH_ZINC,0.4
211,HND,2012,MNCH_CSEC,18.6
212,HND,2012,MNCH_DIARCARE,51.8
213,HND,2012,MNCH_ORS,59.7
214,HND,2012,MNCH_ORTCF,60.6
215,HND,2012,MNCH_MLRCARE,61.7
216,HND,2012,MNCH_PNEUCARE,63.9
217,HND,2012,MNCH_DEMAND_FP,76
218,HND,2012,MNCH_PNCNB,81.3
219,HND,2012,MNCH_INSTDEL,82.7
220,HND,2012,MNCH_ADO_INSUFF_PHYS,83.95126
221,HRV,2012,MNCH_CSEC,18.9
222,HRV,2012,MNCH_ADO_INSUFF_PHYS,77.25425
223,HTI,2012,MNCH_ORSZINC,0.1
224,HTI,2012,MNCH_ZINC,0.3
225,HTI,2012,MNCH_ITN,12
226,HTI,2012,MNCH_MLRDIAG,12.2
227,HTI,2012,MNCH_ITNOWN,18.8
228,HTI,2012,MNCH_PNCNB,19.2
229,HTI,2012,MNCH_DIARCARE,33.9
230,HTI,2012,MNCH_INSTDEL,35.9
231,HTI,2012,MNCH_PNEUCARE,37.9
232,HTI,2012,MNCH_MLRCARE,40.1
233,HTI,2012,MNCH_DEMAND_FP,45.6
234,HTI,2012,MNCH_CSEC,5.5
235,HTI,2012,MNCH_ORS,52.9
236,HTI,2012,MNCH_ORTCF,56.7
237,HUN,2012,MNCH_ADO_INSUFF_PHYS,79.66414
