,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,ARG,2012,PT_CHLD_LBR_THRSLD_HC,0.6
1,ARG,2012,PT_CHLD_LBR_THRSLD_ECON,1.6
2,ARG,2012,PT_ST_13-15_BUL_30-DYS,24.5
3,ARG,2012,PT_CHLD_LBR_TIME_ECON,3.5
4,ARG,2012,PT_CHLD_LBR_TIME_HC,4
5,BEN,2012,PT_CHLD_LBR_TIME_HC,13.4
6,BEN,2012,PT_CHLD_LBR_THRSLD_ECON,20.3
7,BEN,2012,PT_CHLD_LBR_THRSLD_HC,20.6
8,BEN,2012,PT_M_15-49_FGM_ELIM,88.8
9,BIH,2012,PT_M_15-19_MRD,0
10,BIH,2012,PT_M_20-24_MRD_U18,0.1
11,BIH,2012,PT_F_20-24_MRD_U15,0.2
12,BIH,2012,PT_ADLT_PS_NEC,13.8
13,BIH,2012,PT_F_20-24_MRD_U18,3.5
14,BIH,2012,PT_F_15-49_W-BTNG,4.8
15,BOL,2012,PT_ST_13-15_BUL_30-DYS,30.2
16,BRB,2012,PT_CHLD_LBR_THRSLD_HC,0.1
17,BRB,2012,PT_CHLD_LBR_THRSLD_ECON,0.8
18,BRB,2012,PT_F_15-19_MRD,1.4
19,BRB,2012,PT_CHLD_LBR_TIME_HC,2.1
20,BRB,2012,PT_F_20-24_MRD_U18,29.2
21,BRB,2012,PT_F_15-49_W-BTNG,3.3
22,BRB,2012,PT_ADLT_PS_NEC,35.7
23,BRB,2012,PT_CHLD_LBR_TIME_ECON,4.9
24,BRB,2012,PT_F_20-24_MRD_U15,7.7
25,BRB,2012,PT_CHLD_Y0T4_REG,98.7
26,CHL,2012,PT_CHLD_5-17_LBR_ECON,2.3
27,CHL,2012,PT_CHLD_5-17_LBR_ECON-HC,5.9
28,CIV,2012,PT_F_GE15_PS-SX-EM_V_PTNR_12MNTH,22
29,CIV,2012,PT_M_15-49_FGM_ELIM,82.1
30,COG,2012,PT_M_20-24_MRD_U18,5.9
31,COK,2012,PT_F_GE15_PS-SX-EM_V_PTNR_12MNTH,9.4
32,COM,2012,PT_F_GE15_SX_V_PTNR_12MNTH,0.4
33,COM,2012,PT_F_20-24_MRD_U15,10
34,COM,2012,PT_M_20-24_MRD_U18,11.9
35,COM,2012,PT_CHLD_LBR_TIME_ECON,13.7
36,COM,2012,PT_CHLD_LBR_TIME_HC,15.4
37,COM,2012,PT_F_15-19_MRD,16.4
38,COM,2012,PT_CHLD_LBR_THRSLD_ECON,16.6
39,COM,2012,PT_CHLD_LBR_THRSLD_HC,18.3
40,COM,2012,PT_F_18-29_SX-V_AGE-18,3.1
41,COM,2012,PT_F_20-24_MRD_U18,31.6
42,COM,2012,PT_F_15-49_W-BTNG,39
43,COM,2012,PT_F_GE15_PS-SX-EM_V_PTNR_12MNTH,4.9
44,COM,2012,PT_F_15-17_SX-V,5.3
45,COM,2012,PT_M_15-19_MRD,7.5
46,COM,2012,PT_CHLD_Y0T4_REG,87.3
47,DJI,2012,PT_M_15-19_MRD,0.8
48,DJI,2012,PT_F_20-24_MRD_U15,1.3
49,DJI,2012,PT_F_15-19_MRD,2.6
50,DJI,2012,PT_F_0-14_FGM,42.9
51,DJI,2012,PT_F_20-24_MRD_U18,5.3
52,DJI,2012,PT_F_15-49_FGM,94.4
53,ECU,2012,PT_F_15-19_MRD,13.7
54,GAB,2012,PT_M_15-19_MRD,1.4
55,GAB,2012,PT_F_GE15_SX_V_PTNR_12MNTH,1.6
56,GAB,2012,PT_F_15-17_SX-V,12.3
57,GAB,2012,PT_F_15-19_MRD,13.5
58,GAB,2012,PT_F_20-24_MRD_U18,21.9
59,GAB,2012,PT_CHLD_LBR_THRSLD_HC,3.1
60,GAB,2012,PT_F_15-17_SX-V_HLP,3.9
61,GAB,2012,PT_F_GE15_PS-SX-EM_V_PTNR_12MNTH,31.5
62,GAB,2012,PT_M_20-24_MRD_U18,4.7
63,GAB,2012,PT_F_20-24_MRD_U15,5.6
64,GAB,2012,PT_F_15-49_W-BTNG,50.2
65,GAB,2012,PT_CHLD_LBR_TIME_HC,6
66,GAB,2012,PT_CHLD_LBR_TIME_ECON,6.5
67,GAB,2012,PT_CHLD_Y0T4_REG,89.6
68,GAB,2012,PT_CHLD_LBR_THRSLD_ECON,9.2
69,GAB,2012,PT_F_18-29_SX-V_AGE-18,9.3
70,GHA,2012,PT_ST_13-15_BUL_30-DYS,62
71,HTI,2012,PT_CHLD_LBR_THRSLD_HC,10.1
72,HTI,2012,PT_CHLD_LBR_TIME_HC,10.3
73,HTI,2012,PT_CHLD_LBR_THRSLD_ECON,17.2
74,HTI,2012,PT_CHLD_LBR_TIME_ECON,6.2
75,IDN,2012,PT_M_20-24_MRD_U18,5.3
76,IND,2012,PT_CHLD_5-17_LBR_ECON,4.3
77,IRQ,2012,PT_ST_13-15_BUL_30-DYS,27.7
78,KGZ,2012,PT_F_GE15_SX_V_PTNR_12MNTH,0
79,KGZ,2012,PT_F_15-17_SX-V,0.1
80,KGZ,2012,PT_M_20-24_MRD_U18,0.4
81,KGZ,2012,PT_M_15-19_MRD,0.6
82,KGZ,2012,PT_F_GE15_PS-SX-EM_V_PTNR_12MNTH,17.1
83,KHM,2012,PT_CHLD_5-17_LBR_ECON,11.5
84,KHM,2012,PT_CHLD_5-17_LBR_ECON-HC,12.6
85,LCA,2012,PT_CHLD_LBR_THRSLD_HC,0.1
86,LCA,2012,PT_CHLD_LBR_THRSLD_ECON,1.3
87,LCA,2012,PT_CHLD_LBR_TIME_HC,2.2
88,LCA,2012,PT_CHLD_LBR_TIME_ECON,2.5
89,LCA,2012,PT_ADLT_PS_NEC,21.1
90,LCA,2012,PT_F_20-24_MRD_U18,24
91,LCA,2012,PT_F_20-24_MRD_U15,3.7
92,LCA,2012,PT_F_15-19_MRD,4.4
93,LCA,2012,PT_F_15-49_W-BTNG,6.5
94,LCA,2012,PT_CHLD_Y0T4_REG,92
95,MDA,2012,PT_F_20-24_MRD_U15,0.4
96,MDA,2012,PT_M_20-24_MRD_U18,0.7
97,MDA,2012,PT_M_15-19_MRD,1.4
98,MDA,2012,PT_F_15-49_W-BTNG,11.2
99,MDA,2012,PT_F_20-24_MRD_U18,12.2
100,MDA,2012,PT_ADLT_PS_NEC,15.1
101,MDA,2012,PT_F_15-19_MRD,9.9
102,MDA,2012,PT_CHLD_Y0T4_REG,99.6
103,NER,2012,PT_CHLD_LBR_TIME_HC,13.3
104,NER,2012,PT_F_15-49_FGM,2
105,NER,2012,PT_CHLD_LBR_THRSLD_HC,20.3
106,NER,2012,PT_CHLD_LBR_THRSLD_ECON,27.3
107,NER,2012,PT_F_20-24_MRD_U15,28
108,NER,2012,PT_ADLT_PS_NEC,45.2
109,NER,2012,PT_M_20-24_MRD_U18,5.7
110,NER,2012,PT_F_15-49_W-BTNG,59.6
111,NER,2012,PT_CHLD_Y0T4_REG,63.9
112,NER,2012,PT_F_20-24_MRD_U18,76.3
113,NER,2012,PT_CHLD_LBR_TIME_ECON,8.9
114,NER,2012,PT_F_15-49_FGM_ELIM,82.4
115,NER,2012,PT_M_15-49_FGM_ELIM,90.6
116,NIC,2012,PT_M_20-24_MRD_U18,19.4
117,NIC,2012,PT_F_15-19_MRD,22.3
118,NIC,2012,PT_F_20-24_MRD_U18,35.2
119,NIC,2012,PT_F_15-49_W-BTNG,6.4
120,NIC,2012,PT_CHLD_Y0T4_REG,84.7
121,NIC,2012,PT_F_20-24_MRD_U15,9.7
122,QAT,2012,PT_F_20-24_MRD_U15,0
123,QAT,2012,PT_M_15-19_MRD,0.6
124,QAT,2012,PT_M_20-24_MRD_U18,0.6
125,QAT,2012,PT_ADLT_PS_NEC,13.9
126,QAT,2012,PT_F_15-19_MRD,4
127,QAT,2012,PT_F_20-24_MRD_U18,4.2
128,QAT,2012,PT_F_15-49_W-BTNG,6.6
129,TUN,2012,PT_CHLD_LBR_THRSLD_HC,0.5
130,TUN,2012,PT_CHLD_LBR_THRSLD_ECON,1.7
131,TUN,2012,PT_CHLD_LBR_TIME_HC,3.2
132,TUN,2012,PT_CHLD_LBR_TIME_ECON,6.5
133,UKR,2012,PT_F_20-24_MRD_U15,0.1
134,UKR,2012,PT_M_15-19_MRD,0.3
135,UKR,2012,PT_CHLD_LBR_THRSLD_HC,1.1
136,UKR,2012,PT_CHLD_LBR_THRSLD_ECON,1.8
