,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,ABW,2012,WS_PPL_W-SW,.17104042
1,ABW,2012,WS_PPL_S-UI,.98335588
2,ABW,2012,WS_PPL_S-L,0
3,ABW,2012,WS_PPL_W-L,0
4,ABW,2012,WS_PPL_S-OD,1.473163
5,ABW,2012,WS_PPL_W-UI,1.9599363
6,ABW,2012,WS_PPL_S-LAT,2.0327194
7,ABW,2012,WS_PPL_W-NP,4.0763435
8,ABW,2012,WS_PPL_S-WWT,4.6721025
9,ABW,2012,WS_PPL_S-SEW,4.9180026
10,ABW,2012,WS_PPL_S-SEP,90.592758
11,ABW,2012,WS_PPL_W-P,93.792679
12,ABW,2012,WS_PPL_W-PRE,95.829216
13,ABW,2012,WS_PPL_S-ALB,97.54348
14,ABW,2012,WS_PPL_S-I,97.54348
15,ABW,2012,WS_PPL_W-ALB,97.869026
16,ABW,2012,WS_PPL_W-I,97.869026
17,AFG,2012,WS_PPL_W-P,13.951043
18,AFG,2012,WS_PPL_W-SW,15.538664
19,AFG,2012,WS_PPL_S-OD,16.860403
20,AFG,2012,WS_PPL_S-SEW,2.6848254
21,AFG,2012,WS_SCH_W-L,2.992334974571662
22,AFG,2012,WS_PPL_W-QUA,20.818832
23,AFG,2012,WS_PPL_W-SM,20.818832
24,AFG,2012,WS_PPL_W-UI,26.707354
25,AFG,2012,WS_PPL_H-N,28.018673
26,AFG,2012,WS_PPL_W-PRE,30.987736
27,AFG,2012,WS_SCH_W-N,31.375
28,AFG,2012,WS_PPL_W-B,32.584686
29,AFG,2012,WS_PPL_H-L,34.510525
30,AFG,2012,WS_PPL_S-UI,36.169735
31,AFG,2012,WS_PPL_S-LAT,36.954517
32,AFG,2012,WS_PPL_H-B,37.470802
33,AFG,2012,WS_PPL_S-ALB,37.960808
34,AFG,2012,WS_SCH_S-B,38.29040026900034
35,AFG,2012,WS_PPL_W-L,4.3504653
36,AFG,2012,WS_PPL_W-NP,43.80294
37,AFG,2012,WS_PPL_S-I,46.96986
38,AFG,2012,WS_PPL_W-ALB,53.403519
39,AFG,2012,WS_PPL_W-I,57.753983
40,AFG,2012,WS_SCH_W-B,65.63266502542834
41,AFG,2012,WS_PPL_S-SEP,7.3305159
42,AFG,2012,WS_SCH_H-B,7.726976006100198
43,AFG,2012,WS_PPL_S-L,9.0090513
44,AGO,2012,WS_PPL_S-UI,12.304741
45,AGO,2012,WS_PPL_S-SEW,12.410647
46,AGO,2012,WS_PPL_S-LAT,12.420574
47,AGO,2012,WS_PPL_W-L,13.440605
48,AGO,2012,WS_PPL_H-L,14.9512
49,AGO,2012,WS_PPL_W-UI,15.303167
50,AGO,2012,WS_PPL_S-L,17.641718
51,AGO,2012,WS_PPL_W-SW,19.287687
52,AGO,2012,WS_PPL_H-B,25.941689
53,AGO,2012,WS_PPL_S-OD,26.462069
54,AGO,2012,WS_PPL_W-PRE,27.731224
55,AGO,2012,WS_PPL_W-NP,30.683445
56,AGO,2012,WS_PPL_W-AVA,30.934889
57,AGO,2012,WS_PPL_W-P,34.7257
58,AGO,2012,WS_PPL_S-SEP,36.401966
59,AGO,2012,WS_SCH_S-N,42
60,AGO,2012,WS_PPL_S-ALB,43.591473
61,AGO,2012,WS_HCF_W-N,51
62,AGO,2012,WS_PPL_W-ALB,51.96854
63,AGO,2012,WS_PPL_H-N,59.107109
64,AGO,2012,WS_PPL_S-I,61.233189
65,AGO,2012,WS_PPL_W-I,65.409149
66,AGO,2012,WS_SCH_W-N,68.47061193586663
67,AIA,2012,WS_PPL_S-OD,.671
68,AIA,2012,WS_PPL_S-UI,.71910036
69,AIA,2012,WS_HCF_W-N,0
70,AIA,2012,WS_PPL_W-L,0
71,AIA,2012,WS_PPL_W-SW,0
72,AIA,2012,WS_SCH_H-L,0
73,AIA,2012,WS_SCH_H-N,0
74,AIA,2012,WS_SCH_S-L,0
75,AIA,2012,WS_SCH_S-N,0
