,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
0,ALB,2012,PV_VMIR,0.777125
1,COG,2012,PV_CHLD_DPRV-S-E5-HS,0.014812644571065903
2,COG,2012,PV_CHLD_DPRV-S-L5-HS,0.014812644571065903
3,COG,2012,PV_CHLD_DPRV-S-E4-HS,0.13092055916786194
4,COG,2012,PV_CHLD_DPRV-S-L4-HS,0.14573320746421814
5,COG,2012,PV_CHLD_DPRV-E5-HS,0.38519442081451416
6,COG,2012,PV_CHLD_DPRV-L5-HS,0.38519442081451416
7,COG,2012,PV_CHLD_DPRV-AVG-S-HS,0.38961899280548096
8,COG,2012,PV_CHLD_DPRV-AVG-POV-S-HS,1.2730212211608887
9,COG,2012,PV_CHLD_DPRV-S-E3-HS,1.281481146812439
10,COG,2012,PV_CHLD_DPRV-S-L3-HS,1.42721426486969
11,COG,2012,PV_CHLD_DPRV-AVG-HS,1.626268982887268
12,COG,2012,PV_CHLD_DPRV-AVG-POV-HS,1.8971855640411377
13,COG,2012,PV_CHLD_DPRV-E3-HS,16.222274780273438
14,COG,2012,PV_CHLD_DPRV-L3-HS,20.076642990112305
15,COG,2012,PV_CHLD_DPRV-S-E1-HS,23.837566375732422
16,COG,2012,PV_CHLD_DPRV-E4-HS,3.469172477722168
17,COG,2012,PV_CHLD_DPRV-L4-HS,3.8543667793273926
18,COG,2012,PV_CHLD_DPRV-S-L1-HS,30.605852127075195
19,COG,2012,PV_CHLD_DPRV-E2-HS,32.513973236083984
20,COG,2012,PV_CHLD_DPRV-E1-HS,33.12946701049805
21,COG,2012,PV_CHLD_DPRV-S-E2-HS,5.3410725593566895
22,COG,2012,PV_CHLD_DPRV-L2-HS,52.59061813354492
23,COG,2012,PV_CHLD_DPRV-S-L2-HS,6.76828670501709
24,COG,2012,PV_CHLD_DPRV-L1-HS,85.72008514404297
25,COM,2012,PV_CHLD_DPRV-S-E4-HS,0
26,COM,2012,PV_CHLD_DPRV-S-E5-HS,0
27,COM,2012,PV_CHLD_DPRV-S-L4-HS,0
28,COM,2012,PV_CHLD_DPRV-S-L5-HS,0
29,COM,2012,PV_CHLD_DPRV-E5-HS,0.06668362766504288
30,COM,2012,PV_CHLD_DPRV-L5-HS,0.06668362766504288
31,COM,2012,PV_CHLD_DPRV-S-E3-HS,0.08449842035770416
32,COM,2012,PV_CHLD_DPRV-S-L3-HS,0.08449842035770416
33,COM,2012,PV_CHLD_DPRV-AVG-S-HS,0.29343628883361816
34,COM,2012,PV_CHLD_DPRV-AVG-POV-S-HS,1.1497983932495117
35,COM,2012,PV_CHLD_DPRV-AVG-HS,1.4925062656402588
36,COM,2012,PV_CHLD_DPRV-AVG-POV-HS,1.7286176681518555
37,COM,2012,PV_CHLD_DPRV-E4-HS,1.8356739282608032
38,COM,2012,PV_CHLD_DPRV-L4-HS,1.902357578277588
39,COM,2012,PV_CHLD_DPRV-E3-HS,12.297501564025879
40,COM,2012,PV_CHLD_DPRV-L3-HS,14.199859619140625
41,COM,2012,PV_CHLD_DPRV-S-E1-HS,21.78221321105957
42,COM,2012,PV_CHLD_DPRV-S-L1-HS,25.520671844482422
43,COM,2012,PV_CHLD_DPRV-S-E2-HS,3.6539597511291504
44,COM,2012,PV_CHLD_DPRV-S-L2-HS,3.7384581565856934
45,COM,2012,PV_CHLD_DPRV-E2-HS,32.540836334228516
46,COM,2012,PV_CHLD_DPRV-E1-HS,39.6003303527832
47,COM,2012,PV_CHLD_DPRV-L2-HS,46.74069595336914
48,COM,2012,PV_CHLD_DPRV-L1-HS,86.34102630615234
49,DZA,2012,PV_CHLD_DPRV-S-E5-HS,0
50,DZA,2012,PV_CHLD_DPRV-S-L5-HS,0
51,DZA,2012,PV_CHLD_DPRV-E5-HS,0.00381709192879498
52,DZA,2012,PV_CHLD_DPRV-L5-HS,0.00381709192879498
53,DZA,2012,PV_CHLD_DPRV-S-E4-HS,0.010888581164181232
54,DZA,2012,PV_CHLD_DPRV-S-L4-HS,0.010888581164181232
55,DZA,2012,PV_CHLD_DPRV-E4-HS,0.10992357134819031
56,DZA,2012,PV_CHLD_DPRV-L4-HS,0.11374066770076752
57,DZA,2012,PV_CHLD_DPRV-S-E3-HS,0.12683004140853882
58,DZA,2012,PV_CHLD_DPRV-S-L3-HS,0.13771863281726837
59,DZA,2012,PV_CHLD_DPRV-AVG-S-HS,0.17744576930999756
60,DZA,2012,PV_CHLD_DPRV-AVG-HS,0.7172759175300598
61,DZA,2012,PV_VMIR,0.78475
62,DZA,2012,PV_CHLD_DPRV-AVG-POV-S-HS,1.0858912467956543
63,DZA,2012,PV_CHLD_DPRV-E3-HS,1.0914756059646606
64,DZA,2012,PV_CHLD_DPRV-S-E2-HS,1.1172243356704712
65,DZA,2012,PV_CHLD_DPRV-L3-HS,1.2052162885665894
66,DZA,2012,PV_CHLD_DPRV-AVG-POV-HS,1.2105655670166016
67,DZA,2012,PV_CHLD_DPRV-S-L2-HS,1.2549430131912231
68,DZA,2012,PV_CHLD_DPRV-L2-HS,11.153508186340332
69,DZA,2012,PV_CHLD_DPRV-S-E1-HS,15.08608341217041
70,DZA,2012,PV_CHLD_DPRV-S-L1-HS,16.341026306152344
71,DZA,2012,PV_CHLD_DPRV-E1-HS,48.097801208496094
72,DZA,2012,PV_CHLD_DPRV-L1-HS,59.25130844116211
73,DZA,2012,PV_CHLD_DPRV-E2-HS,9.948291778564453
74,GAB,2012,PV_CHLD_DPRV-S-E5-HS,0
75,GAB,2012,PV_CHLD_DPRV-S-L5-HS,0
76,GAB,2012,PV_CHLD_DPRV-S-E4-HS,0.0066882106475532055
77,GAB,2012,PV_CHLD_DPRV-S-L4-HS,0.0066882106475532055
78,GAB,2012,PV_CHLD_DPRV-E5-HS,0.10073893517255783
79,GAB,2012,PV_CHLD_DPRV-L5-HS,0.10073893517255783
80,GAB,2012,PV_CHLD_DPRV-S-E3-HS,0.14697295427322388
81,GAB,2012,PV_CHLD_DPRV-S-L3-HS,0.15366116166114807
82,GAB,2012,PV_CHLD_DPRV-AVG-S-HS,0.22239118814468384
83,GAB,2012,PV_CHLD_DPRV-E4-HS,1.021604061126709
84,GAB,2012,PV_CHLD_DPRV-AVG-HS,1.0955067873001099
85,GAB,2012,PV_CHLD_DPRV-L4-HS,1.1223430633544922
86,GAB,2012,PV_CHLD_DPRV-AVG-POV-S-HS,1.1351991891860962
87,GAB,2012,PV_CHLD_DPRV-AVG-POV-HS,1.5302963256835938
88,GAB,2012,PV_CHLD_DPRV-S-E1-HS,17.102230072021484
89,GAB,2012,PV_CHLD_DPRV-S-L1-HS,19.590499877929688
90,GAB,2012,PV_CHLD_DPRV-S-E2-HS,2.334608316421509
91,GAB,2012,PV_CHLD_DPRV-S-L2-HS,2.488269567489624
92,GAB,2012,PV_CHLD_DPRV-E2-HS,23.000581741333008
93,GAB,2012,PV_CHLD_DPRV-L2-HS,29.870147705078125
94,GAB,2012,PV_CHLD_DPRV-E1-HS,41.71773910522461
95,GAB,2012,PV_CHLD_DPRV-E3-HS,5.747222423553467
96,GAB,2012,PV_CHLD_DPRV-L3-HS,6.869565486907959
97,GAB,2012,PV_CHLD_DPRV-L1-HS,71.587890625
98,GIN,2012,PV_VMIR,0.731125
99,HTI,2012,PV_VMIR,0.446375
100,IND,2012,PV_VMIR,0.694625
101,IRQ,2012,PV_VMIR,0.76875
102,KHM,2012,PV_VMIR,0.747375
103,KOR,2012,PV_VMIR,0.76275
104,LBN,2012,PV_VMIR,0.7505
105,MDG,2012,PV_VMIR,0.632375
106,MUS,2012,PV_VMIR,0.6725
107,NER,2012,PV_CHLD_DPRV-S-E5-HS,0
108,NER,2012,PV_CHLD_DPRV-S-L5-HS,0
109,NER,2012,PV_CHLD_DPRV-S-E4-HS,0.1598186492919922
110,NER,2012,PV_CHLD_DPRV-S-L4-HS,0.1598186492919922
111,NER,2012,PV_CHLD_DPRV-E5-HS,0.3220157325267792
112,NER,2012,PV_CHLD_DPRV-L5-HS,0.3220157325267792
113,NER,2012,PV_CHLD_DPRV-AVG-S-HS,1.3529032468795776
114,NER,2012,PV_CHLD_DPRV-AVG-POV-S-HS,1.6208596229553223
115,NER,2012,PV_CHLD_DPRV-E4-HS,12.88654613494873
116,NER,2012,PV_CHLD_DPRV-L4-HS,13.208561897277832
117,NER,2012,PV_CHLD_DPRV-E1-HS,16.2259578704834
118,NER,2012,PV_CHLD_DPRV-AVG-HS,2.339057445526123
119,NER,2012,PV_CHLD_DPRV-AVG-POV-HS,2.453066110610962
120,NER,2012,PV_CHLD_DPRV-E3-HS,32.68775939941406
121,NER,2012,PV_CHLD_DPRV-E2-HS,33.23011779785156
122,NER,2012,PV_CHLD_DPRV-S-E2-HS,34.0662841796875
123,NER,2012,PV_CHLD_DPRV-S-E1-HS,40.60398483276367
124,NER,2012,PV_CHLD_DPRV-S-L2-HS,42.8642692565918
125,NER,2012,PV_CHLD_DPRV-L3-HS,45.896324157714844
126,NER,2012,PV_CHLD_DPRV-L2-HS,79.1264419555664
127,NER,2012,PV_CHLD_DPRV-S-E3-HS,8.638165473937988
128,NER,2012,PV_CHLD_DPRV-S-L3-HS,8.79798412322998
129,NER,2012,PV_CHLD_DPRV-S-L1-HS,83.46825408935547
130,NER,2012,PV_CHLD_DPRV-L1-HS,95.35240173339844
131,PER,2012,PV_CHLD_DPRV-S-E5-HS,0
132,PER,2012,PV_CHLD_DPRV-S-L5-HS,0
